category,Average BusyTime,Minimum BusyTime,Maximum BusyTime,Median BusyTime
1 Dec 2021,3992667.1053,268210.5263,9323157.8947,3792526.3158
2 Dec 2021,4411026.8254,221841.2698,9795619.0476,4361269.8413
3 Dec 2021,4383981.6458,243750,9676416.6667,4379166.6667
4 Dec 2021,4361046,292100,9723400,4328950
5 Dec 2021,4348058.775,363600,9675800,4352650
6 Dec 2021,4431270.6386,318554.2169,9630216.8675,4485542.1687
7 Dec 2021,4555599.8667,238800,9786666.6667,4748333.3333
8 Dec 2021,4289669.1392,282683.5443,9713367.0886,4261721.519
9 Dec 2021,4152241.7333,198933.3333,9636800,4065400
10 Dec 2021,4355506.3333,466444.4444,9396111.1111,4728111.1111
11 Dec 2021,4354965.1667,228000,9666000,4549000
12 Dec 2021,4317699.4762,296476.1905,9467428.5714,4305571.4286
13 Dec 2021,4553778.1375,310650,9783450,4587725
14 Dec 2021,4533031.6721,231606.5574,9680131.1475,4619475.4098
15 Dec 2021,4269853.8448,267034.4828,9566068.9655,4220793.1034
16 Dec 2021,4345027.5806,520258.0645,9040258.0645,4563935.4839
17 Dec 2021,3711154.6207,580551.7241,8253241.3793,4013655.1724
18 Dec 2021,4302685.1458,331416.6667,9706416.6667,4118625
19 Dec 2021,4283570.3333,268000,9619466.6667,4177200
20 Dec 2021,3804191,419250,8995500,4066500
21 Dec 2021,4322664.7895,259578.9474,9789263.1579,4218210.5263
22 Dec 2021,4310237.5517,284137.931,9475034.4828,4308965.5172
23 Dec 2021,4242205.8214,284928.5714,9535000,4167071.4286
24 Dec 2021,4333266.74,267040,9468320,4420960
25 Dec 2021,4526096.125,305750,9806000,4450250
26 Dec 2021,4255215.3077,296307.6923,9689846.1538,4010000
27 Dec 2021,4230903.7333,278933.3333,9605244.4444,4159511.1111
28 Dec 2021,4454883.1,345600,9636400,4375600
29 Dec 2021,4238683.8333,306888.8889,9708888.8889,4125666.6667
30 Dec 2021,4137621.8235,240941.1765,9625882.3529,3899411.7647
31 Dec 2021,4260183.3333,415555.5556,9672444.4444,3965111.1111
