category,Average Reordering,Minimum Reordering,Maximum Reordering,Median Reordering
1 Dec 2021,3,3,3,3
2 Dec 2021,5.6032,3,7,7
3 Dec 2021,3,3,3,3
4 Dec 2021,3,3,3,3
5 Dec 2021,3.125,3,3.9,3
6 Dec 2021,3.2771,3.0241,3.8675,3.0241
7 Dec 2021,3.1,3.1,3.1,3.1
8 Dec 2021,3,3,3,3
9 Dec 2021,3.0667,3.0667,3.0667,3.0667
10 Dec 2021,3.1389,3.1389,3.1389,3.1389
11 Dec 2021,3,3,3,3
12 Dec 2021,3,3,3,3
13 Dec 2021,3.0125,3.0125,3.0125,3.0125
14 Dec 2021,3.2623,3,4,3.1475
15 Dec 2021,3,3,3,3
16 Dec 2021,3,3,3,3
17 Dec 2021,3.0345,3.0345,3.0345,3.0345
18 Dec 2021,3.3333,3,3.6667,3.3958
19 Dec 2021,3.4,3,4.2667,3
20 Dec 2021,3,3,3,3
21 Dec 2021,3.0526,3,3.2895,3
22 Dec 2021,3.3793,3,3.5172,3.5172
23 Dec 2021,3.0179,3.0179,3.0179,3.0179
24 Dec 2021,3,3,3,3
25 Dec 2021,3,3,3,3
26 Dec 2021,3,3,3,3
27 Dec 2021,3,3,3,3
28 Dec 2021,3,3,3,3
29 Dec 2021,3,3,3,3
30 Dec 2021,3,3,3,3
31 Dec 2021,3,3,3,3
