category,Maximum Download Bandwidth,Minimum Download Bandwidth,Maximum Upload Bandwidth,Minimum Upload Bandwidth
1 Dec 2021,15.4056854736,6.5582627368,1.9896591112,1.5153115552
2 Dec 2021,40.7569817144,12.756577524,4.7491718752,3.3880588752
3 Dec 2021,42.4878683336,15.1958821664,6.9206326664,4.788838333599999
4 Dec 2021,11.7254728,5.428957,1.1955506,1.1099858
5 Dec 2021,11.7645226,5.5432498,1.0364108,0.9471588000000001
6 Dec 2021,23.0111186504,7.251561542399999,2.7845791808,1.6176795184
7 Dec 2021,43.975474133599995,9.4619938664,5.682976516,3.3523452903999997
8 Dec 2021,11.947844354399999,5.4550372656,1.1721199,1.013721
9 Dec 2021,13.0702984,4.7696085336,1.3779108968,1.3168124136000001
10 Dec 2021,6.7152057776,2.4844053336,0.9612209408,0.7126122351999999
11 Dec 2021,3.188124,0.9748733336000001,0.9634794288,0.8380651432
12 Dec 2021,7.4428011432,2.7161032384,1.0846241864,0.919350512
13 Dec 2021,38.3478199,10.3395691,4.3276721864,4.1571652096000005
14 Dec 2021,63.0461050488,15.38523318,8.0784419672,7.5211116064
15 Dec 2021,39.027708552,10.9071566896,5.3352380688,4.906096413599999
16 Dec 2021,25.968904,8.1888756128,3.6294038856,3.3545712
17 Dec 2021,6.2471627584,0.7755677240000001,0.6694756128,0.4573352256
18 Dec 2021,12.1524408336,5.2838095,1.267463,1.1574731664
19 Dec 2021,13.3970613336,6.507976,1.2359029336,1.1413493336
20 Dec 2021,4.677336,0.761275,0.3701957648,0.18775152960000002
21 Dec 2021,18.619024,6.0883031575999995,1.9888664616,1.461026872
22 Dec 2021,15.728783724,5.7458783448,1.5917876128,0.8977956128
23 Dec 2021,26.610895856800003,10.6041472856,3.9436619640000004,3.2560866911999997
24 Dec 2021,27.08699168,10.60955872,4.62028016,3.5629667200000004
25 Dec 2021,13.885405,5.9384565,1.2630525,1.228201
26 Dec 2021,12.0538338464,6.805235692,1.2356215384,1.2157458464
27 Dec 2021,14.8528760888,6.0657047111999995,1.4880003640000001,1.2181405456
28 Dec 2021,15.107601599999999,6.054446400000001,1.5465146664,0.966208
29 Dec 2021,14.138787555199999,5.2115657776,1.0283946663999999,0.955272
30 Dec 2021,15.2847190592,6.8483750592,0.9973896472,0.8418296472
31 Dec 2021,17.325531555199998,10.047208,1.0489537776,0.9957146664
