category,Average DataSegsOut,Minimum DataSegsOut,Maximum DataSegsOut,Median DataSegsOut
1 Dec 2021,3322.0526,241.6316,7312.4211,3266.2105
2 Dec 2021,7265.7937,476.4444,14833.3016,7452.4127
3 Dec 2021,8207.2917,513.5833,16745.5625,8533.5417
4 Dec 2021,2828.075,189.25,6512.675,2718.475
5 Dec 2021,2703.775,181.625,6221.4,2639.075
6 Dec 2021,4132.6867,360.3735,8259.1687,4230.012
7 Dec 2021,6459.1333,884,12177.5333,6719.2
8 Dec 2021,2787.2658,160.6835,6450.8608,2718.7468
9 Dec 2021,2857.9,105.0333,6884.8333,2752.6
10 Dec 2021,1277.8333,106.0278,2822.7778,1288.1111
11 Dec 2021,533.1667,37,1138.5,556
12 Dec 2021,1715.5238,98.8333,3898.4048,1653.4048
13 Dec 2021,6302.85,735.475,12472.8375,6349.5875
14 Dec 2021,9189.0164,901.377,17801.1311,9337.8689
15 Dec 2021,6449.9138,503.7931,13141.8793,6636.6379
16 Dec 2021,4994.4194,408.5484,9932.8065,5228.2903
17 Dec 2021,790.7241,80.2414,1898.7586,741.8621
18 Dec 2021,2780.0208,168,6518,2576.8542
19 Dec 2021,2927.1333,195.0667,6611.3333,2874.8667
20 Dec 2021,1165.8125,34.5,2972.125,1111.375
21 Dec 2021,4062.7368,143.5263,8949.5789,4088.6579
22 Dec 2021,3194.7241,138,7331.7586,3122.8276
23 Dec 2021,5213.6429,337.3214,11201.4107,5290.8571
24 Dec 2021,5232.92,365.96,10677.1,5406.66
25 Dec 2021,3276.125,178.3125,7476.5,3186.375
26 Dec 2021,3161.8462,198.3077,7172.1538,2963.2308
27 Dec 2021,3448.8667,189.3111,7900.0889,3365.6
28 Dec 2021,3610.9,131.3,7917.1,3513.4
29 Dec 2021,3455.6667,210.3333,7806.9444,3380.9444
30 Dec 2021,3717,203,8349.1176,3605.8824
31 Dec 2021,4743.7778,371.5556,10346.1111,4507
