category,Average SndMSS,Minimum SndMSS,Maximum SndMSS,Median SndMSS
1 Dec 2021,1344.8889,1344.8889,1344.8889,1344.8889
2 Dec 2021,1378.0625,1378.0625,1378.0625,1378.0625
3 Dec 2021,1398.7083,1398.7083,1398.7083,1398.7083
4 Dec 2021,1340.25,1340.25,1340.25,1340.25
5 Dec 2021,1340.25,1340.25,1340.25,1340.25
6 Dec 2021,1359.7831,1359.7831,1359.7831,1359.7831
7 Dec 2021,1388.3226,1388.3226,1388.3226,1388.3226
8 Dec 2021,1340.25,1340.25,1340.25,1340.25
9 Dec 2021,1356.6207,1356.6207,1356.6207,1356.6207
10 Dec 2021,1364.4706,1364.4706,1364.4706,1364.4706
11 Dec 2021,1338,1338,1338,1338
12 Dec 2021,1338,1338,1338,1338
13 Dec 2021,1364.2093,1364.2093,1364.2093,1364.2093
14 Dec 2021,1398.4262,1398.4262,1398.4262,1398.4262
15 Dec 2021,1378.6207,1378.6207,1378.6207,1378.6207
16 Dec 2021,1397.8286,1397.8286,1397.8286,1397.8286
17 Dec 2021,1428,1428,1428,1428
18 Dec 2021,1339.875,1339.875,1339.875,1339.875
19 Dec 2021,1338,1338,1338,1338
20 Dec 2021,1375.0588,1375.0588,1375.0588,1375.0588
21 Dec 2021,1352.3077,1352.3077,1352.3077,1352.3077
22 Dec 2021,1348,1348,1348,1348
23 Dec 2021,1373.4545,1373.4545,1373.4545,1373.4545
24 Dec 2021,1371.48,1371.48,1371.48,1371.48
25 Dec 2021,1338,1338,1338,1338
26 Dec 2021,1338,1338,1338,1338
27 Dec 2021,1343.6364,1343.6364,1343.6364,1343.6364
28 Dec 2021,1344.8889,1344.8889,1344.8889,1344.8889
29 Dec 2021,1338,1338,1338,1338
30 Dec 2021,1338,1338,1338,1338
31 Dec 2021,1338,1338,1338,1338
