category,Average PMTU,Minimum PMTU,Maximum PMTU,Median PMTU
1 Dec 2021,64076,64076,64076,64076
2 Dec 2021,64076,64076,64076,64076
3 Dec 2021,64076,64076,64076,64076
4 Dec 2021,64076,64076,64076,64076
5 Dec 2021,64076,64076,64076,64076
6 Dec 2021,64076,64076,64076,64076
7 Dec 2021,64076,64076,64076,64076
8 Dec 2021,64076,64076,64076,64076
9 Dec 2021,64076,64076,64076,64076
10 Dec 2021,64076,64076,64076,64076
11 Dec 2021,64076,64076,64076,64076
12 Dec 2021,64076,64076,64076,64076
13 Dec 2021,64076,64076,64076,64076
14 Dec 2021,64076,64076,64076,64076
15 Dec 2021,64076,64076,64076,64076
16 Dec 2021,64076,64076,64076,64076
17 Dec 2021,64076,64076,64076,64076
18 Dec 2021,64076,64076,64076,64076
19 Dec 2021,64076,64076,64076,64076
20 Dec 2021,64076,64076,64076,64076
21 Dec 2021,64076,64076,64076,64076
22 Dec 2021,64076,64076,64076,64076
23 Dec 2021,64076,64076,64076,64076
24 Dec 2021,64076,64076,64076,64076
25 Dec 2021,64076,64076,64076,64076
26 Dec 2021,64076,64076,64076,64076
27 Dec 2021,64076,64076,64076,64076
28 Dec 2021,64076,64076,64076,64076
29 Dec 2021,64076,64076,64076,64076
30 Dec 2021,64076,64076,64076,64076
31 Dec 2021,64076,64076,64076,64076
