category,Average Retrans,Minimum Retrans,Maximum Retrans,Median Retrans
1 Dec 2021,0,0,0,0
2 Dec 2021,0,0,0.0625,0
3 Dec 2021,0,0,0.0833,0
4 Dec 2021,0,0,0.025,0
5 Dec 2021,0,0,0.1,0
6 Dec 2021,0,0,0.1566,0
7 Dec 2021,0,0,0.0323,0
8 Dec 2021,0,0,0.0125,0
9 Dec 2021,0,0,0,0
10 Dec 2021,0.0294,0,0.1765,0.1176
11 Dec 2021,0,0,0,0
12 Dec 2021,0.0233,0,0.1395,0.0698
13 Dec 2021,0.0116,0,0.093,0.0233
14 Dec 2021,0,0,0.0328,0
15 Dec 2021,0,0,0.0345,0
16 Dec 2021,0.0857,0,0.4,0.0857
17 Dec 2021,0.129,0,0.6452,0.1935
18 Dec 2021,0,0,0,0
19 Dec 2021,0,0,0,0
20 Dec 2021,0.0588,0,1.1176,0.1176
21 Dec 2021,0,0,0.2564,0
22 Dec 2021,0.0645,0,0.3226,0.129
23 Dec 2021,0.0364,0,0.2182,0.0364
24 Dec 2021,0,0,0.14,0.02
25 Dec 2021,0,0,0,0
26 Dec 2021,0,0,0,0
27 Dec 2021,0,0,0,0
28 Dec 2021,0,0,0,0
29 Dec 2021,0,0,0.0556,0
30 Dec 2021,0,0,0,0
31 Dec 2021,0,0,0,0
