category,Average BytesRetrans,Minimum BytesRetrans,Maximum BytesRetrans,Median BytesRetrans
1 Dec 2021,74021.3158,1492.2632,165824.7895,82380.7368
2 Dec 2021,615736.873,10415.6984,1367793.9206,642806.5873
3 Dec 2021,683599.0625,13101.6875,1621546.6875,660520.1458
4 Dec 2021,15082.85,42.425,37361.225,15202.025
5 Dec 2021,24819.475,593.35,58707.5,25082.6
6 Dec 2021,329232.7108,13942.8193,633401.7108,351710.1205
7 Dec 2021,722371.2333,55080.9667,1399221.2333,759874.1667
8 Dec 2021,31983.6329,1053.7215,79961.8481,33199.5949
9 Dec 2021,54025.8,142.8,129657.6,53887.7
10 Dec 2021,14839.8611,902.25,39543.0833,15127.5833
11 Dec 2021,7195.6667,0,13380,8585.5
12 Dec 2021,6209.9762,31.8571,16310.2857,5686.2143
13 Dec 2021,520783.8375,25361.6,1044493.6,537895.825
14 Dec 2021,806390.4262,22816.6885,1736126.7869,810650.3115
15 Dec 2021,529044,4653.6034,1196648.8793,544677.2759
16 Dec 2021,435717.9677,2972.9355,922071.6452,472555.3871
17 Dec 2021,65923.3793,12397.3448,156958.5862,72018.0345
18 Dec 2021,22985.0208,0,56257.375,20547.625
19 Dec 2021,6434.6667,0,14450.4,4816.8
20 Dec 2021,159183.25,1629.5,403048.25,168476.5625
21 Dec 2021,204369.4474,1268.2105,520182,169832.0789
22 Dec 2021,66630.2759,4419.3448,151636.4483,61268.3793
23 Dec 2021,256699.0536,5157.8929,654821.4643,243027.2143
24 Dec 2021,321400.88,2699.1,704780.86,343902.54
25 Dec 2021,1917.125,176.6875,4608.8125,1263.8125
26 Dec 2021,1419.3846,0,2367.2308,1646.7692
27 Dec 2021,75034.6,1017.9778,195429.4889,77490.3111
28 Dec 2021,81347.3,187.7,186180.5,95956.2
29 Dec 2021,21182.3889,1635.3333,58054.3333,22225.6667
30 Dec 2021,1841.5294,0,3699.1765,2125.0588
31 Dec 2021,10442.3333,0,20664.6667,12265
