category,Average RTO,Minimum RTO,Maximum RTO,Median RTO
1 Dec 2021,238529.2778,224222.2222,250666.6667,241000
2 Dec 2021,242075.7031,222937.5,297125,240718.75
3 Dec 2021,222369.2083,208916.6667,255083.3333,221375
4 Dec 2021,284549.875,233600,365900,283650
5 Dec 2021,381216.925,252300,612800,460550
6 Dec 2021,395037.506,270216.8675,598602.4096,434265.0602
7 Dec 2021,291063.871,245806.4516,359225.8065,287032.2581
8 Dec 2021,264820.625,235700,314850,266300
9 Dec 2021,264121.3448,235310.3448,308413.7931,268896.5517
10 Dec 2021,424965.1471,311647.0588,621294.1176,399647.0588
11 Dec 2021,254232.8571,237142.8571,272285.7143,254857.1429
12 Dec 2021,369628.093,269116.2791,509767.4419,368744.186
13 Dec 2021,326498.3372,252000,433162.7907,328790.6977
14 Dec 2021,239174.6557,222557.377,270688.5246,238885.2459
15 Dec 2021,228330.1379,215793.1034,258620.6897,225827.5862
16 Dec 2021,573106.2286,313028.5714,1104800,525085.7143
17 Dec 2021,561016.3226,394838.7097,912903.2258,469096.7742
18 Dec 2021,291096.9167,232083.3333,379333.3333,313750
19 Dec 2021,271471.6667,231200,300000,269333.3333
20 Dec 2021,644645.4118,433647.0588,1026117.6471,609058.8235
21 Dec 2021,311990.7179,259384.6154,414461.5385,318564.1026
22 Dec 2021,387309.9677,250709.6774,556258.0645,385290.3226
23 Dec 2021,331433.7091,221745.4545,580072.7273,330000
24 Dec 2021,381753.8,230160,581600,397480
25 Dec 2021,264574.6875,231750,308750,276625
26 Dec 2021,248130.7692,232615.3846,261846.1538,251230.7692
27 Dec 2021,278795.8409,235000,340000,278545.4545
28 Dec 2021,352339.8889,255555.5556,455555.5556,401777.7778
29 Dec 2021,349075.0556,242000,557111.1111,469555.5556
30 Dec 2021,296305.8235,237647.0588,439294.1176,308823.5294
31 Dec 2021,271498.7778,237777.7778,340000,284888.8889
