category,Average ReordSeen,Minimum ReordSeen,Maximum ReordSeen,Median ReordSeen
1 Dec 2021,0,0,0,0
2 Dec 2021,0.1905,0.0317,0.2381,0.2381
3 Dec 2021,0,0,0,0
4 Dec 2021,0.025,0.025,0.025,0.025
5 Dec 2021,0.075,0,0.6,0
6 Dec 2021,0.4458,0.3253,0.6265,0.3855
7 Dec 2021,0.9667,0.7667,1.0667,0.9667
8 Dec 2021,0,0,0,0
9 Dec 2021,0.5,0.4333,0.5,0.5
10 Dec 2021,1.0278,0.8056,1.0833,1.0556
11 Dec 2021,0,0,0,0
12 Dec 2021,0,0,0,0
13 Dec 2021,0.05,0.05,0.05,0.05
14 Dec 2021,0.082,0,0.1639,0.1311
15 Dec 2021,0,0,0.0172,0.0172
16 Dec 2021,0.7419,0.3871,1.1613,0.6129
17 Dec 2021,1.7931,1.0345,1.8966,1.8276
18 Dec 2021,0.75,0.0833,1.2292,0.9375
19 Dec 2021,0.3333,0,0.9333,0
20 Dec 2021,0.5625,0.375,0.5625,0.5625
21 Dec 2021,0.0526,0,0.2632,0
22 Dec 2021,0.3103,0.0345,0.3793,0.3793
23 Dec 2021,0.0714,0.0714,0.0714,0.0714
24 Dec 2021,0,0,0,0
25 Dec 2021,0,0,0,0
26 Dec 2021,0,0,0,0
27 Dec 2021,0,0,0,0
28 Dec 2021,0,0,0,0
29 Dec 2021,0,0,0,0
30 Dec 2021,0,0,0,0
31 Dec 2021,0,0,0,0
