category,Average Retrans,Minimum Retrans,Maximum Retrans,Median Retrans
1 Dec 2021,0.3684,0,3.3158,0.2105
2 Dec 2021,1.9206,0,15.2381,1.4603
3 Dec 2021,1.9375,0,12.5417,1.8958
4 Dec 2021,0.225,0,2.05,0.55
5 Dec 2021,0.325,0,2.45,0.1
6 Dec 2021,0.747,0,5.1807,0.9398
7 Dec 2021,0.9667,0,5.1667,0.6
8 Dec 2021,0.2278,0,2.4937,0.443
9 Dec 2021,0.3667,0,2.8,0.2667
10 Dec 2021,0.6389,0,3.6667,0.7222
11 Dec 2021,0,0,0.8333,0.1667
12 Dec 2021,0.0952,0,0.7619,0.1667
13 Dec 2021,0.9625,0,6.6625,1.15
14 Dec 2021,1.2295,0,8.4098,1.5738
15 Dec 2021,0.8621,0,4.9138,0.7414
16 Dec 2021,1.129,0.1613,3.9355,1.1935
17 Dec 2021,2.4483,0.2759,8.4138,1.8966
18 Dec 2021,0.2292,0,2.3125,0.1875
19 Dec 2021,0.0667,0,1.1333,0
20 Dec 2021,7.625,0.1875,22.75,12.625
21 Dec 2021,2.8158,0,12.5789,6.2105
22 Dec 2021,0.6207,0,4.931,0.4483
23 Dec 2021,1.0179,0,7.5357,1.3929
24 Dec 2021,0.82,0,6.86,0.96
25 Dec 2021,0,0,0.1875,0
26 Dec 2021,0,0,0.1538,0
27 Dec 2021,0.5333,0,4.6889,0.7333
28 Dec 2021,0.2,0,1.2,0.2
29 Dec 2021,0.3333,0,1.8889,0.3333
30 Dec 2021,0,0,0.2941,0.0588
31 Dec 2021,0.1111,0,1.6667,0.5556
