category,Average DataSegsOut,Minimum DataSegsOut,Maximum DataSegsOut,Median DataSegsOut
1 Dec 2021,48.2778,5,91.1111,49.3333
2 Dec 2021,48.3438,5.1094,91.1406,49.2969
3 Dec 2021,49.75,5.0208,94.2917,50.6667
4 Dec 2021,49.625,5,93.7,50.55
5 Dec 2021,50.3,5.05,94.425,51.425
6 Dec 2021,49.2651,5.1566,92.3735,50.5542
7 Dec 2021,49.1613,5.1613,93.3548,50.3226
8 Dec 2021,48.4125,5.0625,91.275,49.625
9 Dec 2021,48.1034,5,90.8276,48.6552
10 Dec 2021,46.2353,5.0882,87.0882,47.3824
11 Dec 2021,50.5714,5,95.5714,51.5
12 Dec 2021,49.5581,5.0465,93.2791,50.8605
13 Dec 2021,49.6628,5.0233,93.6395,50.5814
14 Dec 2021,48.9344,5.1311,92.4918,50.082
15 Dec 2021,50.3276,5.0345,95.5517,51.5
16 Dec 2021,49.6286,5.5714,93.4857,50.1143
17 Dec 2021,48.8065,5.6452,91.3226,50.0323
18 Dec 2021,47.8125,5,89.7917,48.8333
19 Dec 2021,48.0667,5,90.5333,49.2
20 Dec 2021,49.8824,5.7647,94.0588,50.5882
21 Dec 2021,47.2051,5.3846,88.4103,48.2051
22 Dec 2021,49.2903,5.2581,91.8065,50.2581
23 Dec 2021,49.4545,4.9636,93.1091,50.7636
24 Dec 2021,48.66,5.02,92,49.86
25 Dec 2021,50.25,5,94.875,51.9375
26 Dec 2021,47.7692,5,89.9231,48.8462
27 Dec 2021,47.25,5.0227,89.1364,48.2727
28 Dec 2021,52.8889,5.1111,99.7778,54.1111
29 Dec 2021,50.7222,5.0556,95.4444,51.9444
30 Dec 2021,50.9412,5,96.7059,52.1176
31 Dec 2021,47.5556,5,89.6667,48.7778
