category,Average PMTU,Minimum PMTU,Maximum PMTU,Median PMTU
1 Dec 2021,1500,1500,1500,1500
2 Dec 2021,1500,1500,1500,1500
3 Dec 2021,1500,1500,1500,1500
4 Dec 2021,1500,1500,1500,1500
5 Dec 2021,1500,1500,1500,1500
6 Dec 2021,1500,1500,1500,1500
7 Dec 2021,1500,1500,1500,1500
8 Dec 2021,1500,1500,1500,1500
9 Dec 2021,1500,1500,1500,1500
10 Dec 2021,1500,1500,1500,1500
11 Dec 2021,1500,1500,1500,1500
12 Dec 2021,1500,1500,1500,1500
13 Dec 2021,1500,1500,1500,1500
14 Dec 2021,1500,1500,1500,1500
15 Dec 2021,1500,1500,1500,1500
16 Dec 2021,1500,1500,1500,1500
17 Dec 2021,1500,1500,1500,1500
18 Dec 2021,1500,1500,1500,1500
19 Dec 2021,1500,1500,1500,1500
20 Dec 2021,1500,1500,1500,1500
21 Dec 2021,1500,1500,1500,1500
22 Dec 2021,1500,1500,1500,1500
23 Dec 2021,1500,1500,1500,1500
24 Dec 2021,1500,1500,1500,1500
25 Dec 2021,1500,1500,1500,1500
26 Dec 2021,1500,1500,1500,1500
27 Dec 2021,1500,1500,1500,1500
28 Dec 2021,1500,1500,1500,1500
29 Dec 2021,1500,1500,1500,1500
30 Dec 2021,1500,1500,1500,1500
31 Dec 2021,1500,1500,1500,1500
