category,Average PMTU,Minimum PMTU,Maximum PMTU,Median PMTU
1 Feb 2022,64076,64076,64076,64076
2 Feb 2022,64076,64076,64076,64076
3 Feb 2022,64076,64076,64076,64076
4 Feb 2022,64076,64076,64076,64076
5 Feb 2022,64076,64076,64076,64076
6 Feb 2022,64076,64076,64076,64076
7 Feb 2022,64076,64076,64076,64076
8 Feb 2022,64076,64076,64076,64076
9 Feb 2022,64076,64076,64076,64076
10 Feb 2022,64076,64076,64076,64076
11 Feb 2022,64076,64076,64076,64076
12 Feb 2022,64076,64076,64076,64076
13 Feb 2022,64076,64076,64076,64076
14 Feb 2022,64076,64076,64076,64076
15 Feb 2022,64076,64076,64076,64076
16 Feb 2022,64076,64076,64076,64076
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,64076,64076,64076,64076
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,64076,64076,64076,64076
25 Feb 2022,64076,64076,64076,64076
26 Feb 2022,64076,64076,64076,64076
27 Feb 2022,64076,64076,64076,64076
28 Feb 2022,64076,64076,64076,64076
