category,Average RTO,Minimum RTO,Maximum RTO,Median RTO
1 Feb 2022,370804.8636,251727.2727,516181.8182,378181.8182
2 Feb 2022,297239.0972,220166.6667,400222.2222,314416.6667
3 Feb 2022,313508.4375,232416.6667,427916.6667,328375
4 Feb 2022,374347.0769,242769.2308,528000,438307.6923
5 Feb 2022,434618.8065,315870.9677,683225.8065,471612.9032
6 Feb 2022,701483.4096,496000,1007036.1446,737469.8795
7 Feb 2022,706694.9773,477181.8182,1088636.3636,677409.0909
8 Feb 2022,617958,443147.541,888393.4426,645049.1803
9 Feb 2022,423152.4717,367396.2264,572905.6604,411924.5283
10 Feb 2022,429035.3662,313352.1127,619492.9577,431126.7606
11 Feb 2022,316510.2941,229411.7647,508235.2941,346470.5882
12 Feb 2022,293691.3846,239230.7692,385230.7692,312076.9231
13 Feb 2022,278840.2941,237411.7647,375764.7059,272235.2941
14 Feb 2022,267054.7222,250000,326370.3704,263000
15 Feb 2022,370788.5952,257047.619,589619.0476,341285.7143
16 Feb 2022,323234.9091,265610.3896,438649.3506,314337.6623
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,299431.1765,257058.8235,417882.3529,313941.1765
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,466567.7872,334297.8723,752936.1702,429191.4894
25 Feb 2022,421813.225,345300,621400,410750
26 Feb 2022,597573.8125,443750,852500,627500
27 Feb 2022,369921.5918,304326.5306,464653.0612,381265.3061
28 Feb 2022,254167.875,215375,340750,238250
