category,Average RTTVar,Minimum RTTVar,Maximum RTTVar,Median RTTVar
1 Feb 2022,5536.6136,703.8864,23646.3409,9298.5909
2 Feb 2022,5901.3194,1020.9306,24922.7083,5350.6944
3 Feb 2022,6484.3469,1221.6327,23324.6327,8475.449
4 Feb 2022,8386.4615,1433.1538,22264.8462,10896.3846
5 Feb 2022,8258.129,1391.0323,32076.5161,8322.7097
6 Feb 2022,13112.0595,2348.7381,44847.869,13855.3214
7 Feb 2022,16708.1395,3760.3953,52220.2093,19329.093
8 Feb 2022,14321.0328,2414.5082,47873.5246,14134.3279
9 Feb 2022,11398.6923,2256.4808,39257.0769,11490.0192
10 Feb 2022,9161.5211,1807.7606,40014.0282,8115.9014
11 Feb 2022,11537.0625,2554,39660.4375,10514.375
12 Feb 2022,10962,2877.6923,30561.3462,11937.1538
13 Feb 2022,11921.8824,2902.3529,30722.1176,11327.7647
14 Feb 2022,6873.2593,1319.6667,24666.1852,5670.7963
15 Feb 2022,10209.7,2609.55,29456.4,8871.7
16 Feb 2022,13456.3974,2157.5513,49680.8974,9599.1923
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,11654.3529,1903.6765,56996.4412,5709.0294
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,17165.8,4198.0667,59560.6,16621.0667
25 Feb 2022,12112.8718,2780,38648.9231,9633.8974
26 Feb 2022,17817.6774,3775.4839,52442.0645,13135.9355
27 Feb 2022,17211.1569,3026.6078,64230.6078,11997.2549
28 Feb 2022,5435.2581,934.7419,18464.2258,4382.7742
