category,Average DeliveryRate,Minimum DeliveryRate,Maximum DeliveryRate,Median DeliveryRate
1 Feb 2022,2138409.0682,1223256.5455,5927607.4091,2026442.5909
2 Feb 2022,1987596.9444,960969.6806,5147575.5417,1834450.7361
3 Feb 2022,1877850.7347,902271.7959,4763046.7347,1700549.4898
4 Feb 2022,1866379.8462,789896.8462,3525656.7692,1642024.5385
5 Feb 2022,1508292.1935,378070.7419,2777644.129,1504692.5806
6 Feb 2022,663449.3214,41565.0119,1247797.0119,893467.2738
7 Feb 2022,888689.5581,113216.3953,1559447.6512,1082161.4419
8 Feb 2022,865509.9344,142628.2623,1502286.5738,991291.3607
9 Feb 2022,1010393.6538,233551.3077,1803216.5962,1072517.4423
10 Feb 2022,1124171.9155,367339.338,1977638.6338,1101203.6197
11 Feb 2022,1027970.625,388663.5,1759199.8125,915445.375
12 Feb 2022,567048.7692,267005.9231,942110,603062.1154
13 Feb 2022,525276,222572.1176,859491.0588,546922.5882
14 Feb 2022,1822631.463,608118.3889,3357326.7963,1785250.8333
15 Feb 2022,1499875.675,620540.375,2975121.025,1406652.325
16 Feb 2022,1515669.7564,651189.1667,2944566.9872,1399927.6538
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,1723934.5882,663606.6176,3277751.0294,1580806.3235
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,625489.3111,184755.2667,1035689.8444,761782.9556
25 Feb 2022,1006204.7692,258380.6667,1675660.9487,1070249.4615
26 Feb 2022,549000.3548,122253.3226,841942.129,584328.5806
27 Feb 2022,588157.2157,220975.9608,894898.4902,628589.8039
28 Feb 2022,2270138.871,915390.8387,4311584.0323,2139415.2903
