category,Average BusyTime,Minimum BusyTime,Maximum BusyTime,Median BusyTime
1 Feb 2022,1169923.75,75181.8182,2366000,1155636.3636
2 Feb 2022,931219.2778,50777.7778,1894944.4444,933083.3333
3 Feb 2022,1078414,67333.3333,2182666.6667,1098333.3333
4 Feb 2022,1264184.8462,44307.6923,2671076.9231,1296615.3846
5 Feb 2022,2374989.6774,188516.129,4424129.0323,2489548.3871
6 Feb 2022,4110630.8193,366554.2169,7957590.3614,4187445.7831
7 Feb 2022,3461759.0682,338636.3636,6663545.4545,3465363.6364
8 Feb 2022,3294042.1639,319540.9836,6369508.1967,3359049.1803
9 Feb 2022,2646318.4717,267396.2264,5034415.0943,2692867.9245
10 Feb 2022,2393199.1549,191211.2676,4789183.0986,2372647.8873
11 Feb 2022,1026892.2353,67764.7059,2028941.1765,1059176.4706
12 Feb 2022,1388381.9231,84461.5385,2722000,1390923.0769
13 Feb 2022,1346407.6471,85647.0588,2484470.5882,1407058.8235
14 Feb 2022,1247845.2963,118222.2222,2401111.1111,1273740.7407
15 Feb 2022,1377459.8095,104666.6667,2750095.2381,1350428.5714
16 Feb 2022,1308344.3896,121818.1818,2548675.3247,1322415.5844
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,1224897.2353,93764.7059,2482705.8824,1242058.8235
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,2816766.3404,240340.4255,5376340.4255,2940382.9787
25 Feb 2022,2501179.5,260000,4837200,2469950
26 Feb 2022,3069959.8438,290250,5976625,3178250
27 Feb 2022,2362093.1837,182775.5102,4672653.0612,2400040.8163
28 Feb 2022,513047.1563,34625,1081500,502250
