category,Average Delivered,Minimum Delivered,Maximum Delivered,Median Delivered
1 Feb 2022,8133,1158.4773,15717.8182,8229.5455
2 Feb 2022,7044.1667,729.0556,14113.1667,7098.4167
3 Feb 2022,6790.6327,683.6939,13518.6939,6911.2245
4 Feb 2022,6392,387.3077,13344.6154,6472.6154
5 Feb 2022,5088.7419,163.9032,12046.129,4777.0323
6 Feb 2022,1989.6429,12.3571,5639.1548,1670.4048
7 Feb 2022,2784.8372,52.1163,7068.9767,2600.1395
8 Feb 2022,2820.8361,89.2459,6829.1148,2694.2131
9 Feb 2022,3331.2308,87.4615,7798.4423,3208.0577
10 Feb 2022,3613.338,145.5352,8319.8873,3501.3239
11 Feb 2022,3421.8125,151.625,7910.5625,3260
12 Feb 2022,1828.6923,104.1923,4019.5769,1835.3846
13 Feb 2022,1711.2353,76.0588,3886.2941,1578.6471
14 Feb 2022,6225.0926,289.2963,13172.1667,6340.463
15 Feb 2022,4976.9,223.375,10281.8,5202.325
16 Feb 2022,5383.8205,338.1026,10962.5385,5641.7308
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,5778.9412,289.1765,12040.5882,5990.5294
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,1949.7111,63.4,4661.3333,1835.3111
25 Feb 2022,3435.9487,147.9231,7536.2821,3436.0513
26 Feb 2022,1763.1613,25.3871,4329.6129,1698.5806
27 Feb 2022,1883.0196,60.6863,4401.7451,1875.098
28 Feb 2022,7536.9032,471.4194,15598.3871,7851.5161
