category,Average SegsOut,Minimum SegsOut,Maximum SegsOut,Median SegsOut
1 Feb 2022,1506.4545,230.2955,2632.7045,1545.2727
2 Feb 2022,1234.25,173.1111,2191.7083,1277.7083
3 Feb 2022,1160.5,130.625,2065.7917,1186
4 Feb 2022,1133.4615,177.6923,1898.3846,1150.0769
5 Feb 2022,685.9032,29.0968,1205.3548,730.1613
6 Feb 2022,1094.6145,12.3614,2180.506,1150.5422
7 Feb 2022,648.0455,28.9318,1208.9545,665.75
8 Feb 2022,773.0164,49.1148,1493.8033,800.3934
9 Feb 2022,706.717,65.0943,1279.7358,735.0377
10 Feb 2022,601.1972,61.662,1046.1972,615.9859
11 Feb 2022,1200.8824,138.8824,2151.7059,1235.2941
12 Feb 2022,546.5769,49.1154,947.0769,570.6538
13 Feb 2022,567.0588,36.8824,1039.8235,601.3529
14 Feb 2022,1077.9444,139.2778,1934.4074,1095.3704
15 Feb 2022,936.4524,127.9048,1639.4762,970.5714
16 Feb 2022,813.2597,146.7403,1423.8831,822.1558
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,765.7941,117.1176,1333.2059,782.5588
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,237.9149,27.2128,400.8298,257.7234
25 Feb 2022,359.35,32.4,657.875,372.775
26 Feb 2022,163.3125,13.5,274.8125,171.5625
27 Feb 2022,503.3673,41.6735,856.9388,531.102
28 Feb 2022,1531.6563,241.625,2715.875,1550.5938
