category,Average ReordSeen,Minimum ReordSeen,Maximum ReordSeen,Median ReordSeen
1 Feb 2022,0.6136,0.2273,0.8636,0.6591
2 Feb 2022,0.0278,0.0139,0.0694,0.0278
3 Feb 2022,0.0408,0,0.0408,0.0408
4 Feb 2022,0,0,0,0
5 Feb 2022,0,0,0,0
6 Feb 2022,0,0,0,0
7 Feb 2022,0.1628,0.0698,0.1628,0.1628
8 Feb 2022,0.0164,0.0164,0.0164,0.0164
9 Feb 2022,0,0,0.0192,0
10 Feb 2022,0.0141,0,0.0282,0.0282
11 Feb 2022,0,0,0,0
12 Feb 2022,0,0,0,0
13 Feb 2022,0,0,0,0
14 Feb 2022,0,0,0,0
15 Feb 2022,0.125,0.05,0.125,0.125
16 Feb 2022,0.1538,0.0641,0.1795,0.141
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,0,0,0.0588,0
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,0.1778,0.1333,0.1778,0.1778
25 Feb 2022,0,0,0,0
26 Feb 2022,0,0,0,0
27 Feb 2022,0,0,0,0
28 Feb 2022,0,0,0,0
