category,Average Unacked,Minimum Unacked,Maximum Unacked,Median Unacked
1 Feb 2022,0.6591,0,2.4773,0.5
2 Feb 2022,0.375,0,2.4167,0.5694
3 Feb 2022,0.3958,0,2.375,0.2083
4 Feb 2022,0.4615,0,3.9231,0.0769
5 Feb 2022,1.1613,0,4.9355,1.0645
6 Feb 2022,2.5783,0,8.0482,2.988
7 Feb 2022,2.4773,0.0227,7.5455,3.0227
8 Feb 2022,2.082,0,6.6885,2.082
9 Feb 2022,1.434,0,5.1887,1.3019
10 Feb 2022,1.2254,0,4.9859,1
11 Feb 2022,0.3529,0,2.7647,0.4706
12 Feb 2022,0.5385,0,3.8462,0.5
13 Feb 2022,0.5294,0,3.7059,0.4706
14 Feb 2022,0.4259,0,2.8333,0.4815
15 Feb 2022,0.619,0,3.3571,1.0714
16 Feb 2022,0.5195,0,2.8831,0.4805
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,0.5294,0,3.0882,0.7647
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,1.2553,0,5.5319,1.2766
25 Feb 2022,1.1,0,5.1,1.65
26 Feb 2022,2.0313,0.0625,6.7813,2.3438
27 Feb 2022,1.2041,0,5.102,1.2041
28 Feb 2022,0.2188,0,1.5313,0.0313
