category,Average Backoff,Minimum Backoff,Maximum Backoff,Median Backoff
1 Feb 2022,0,0,0,0
2 Feb 2022,0,0,0.0417,0
3 Feb 2022,0,0,0.0208,0
4 Feb 2022,0,0,0.0769,0
5 Feb 2022,0,0,0,0
6 Feb 2022,0,0,0,0
7 Feb 2022,0,0,0.0455,0.0227
8 Feb 2022,0.0164,0,0.0984,0
9 Feb 2022,0,0,0.0377,0
10 Feb 2022,0,0,0.0282,0
11 Feb 2022,0,0,0.0588,0
12 Feb 2022,0,0,0,0
13 Feb 2022,0,0,0,0
14 Feb 2022,0,0,0.0556,0
15 Feb 2022,0,0,0.0952,0
16 Feb 2022,0,0,0,0
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,0,0,0.0294,0
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,0,0,0.0213,0
25 Feb 2022,0,0,0.075,0
26 Feb 2022,0,0,0.0625,0.0313
27 Feb 2022,0,0,0,0
28 Feb 2022,0.0313,0,0.0938,0
