category,Average BusyTime,Minimum BusyTime,Maximum BusyTime,Median BusyTime
1 Feb 2022,4617625.8864,308454.5455,9878272.7273,4616909.0909
2 Feb 2022,4502759.2917,272444.4444,9742222.2222,4470444.4444
3 Feb 2022,4485261.1429,292816.3265,9653469.3878,4560408.1633
4 Feb 2022,4789363.1538,430769.2308,9684307.6923,5010461.5385
5 Feb 2022,4426872.3871,373419.3548,9803096.7742,4245225.8065
6 Feb 2022,3935662.5119,455285.7143,9462714.2857,3618404.7619
7 Feb 2022,4205197.5349,543441.8605,9684372.093,3979441.8605
8 Feb 2022,4168195.0656,467081.9672,9504983.6066,4012393.4426
9 Feb 2022,4121775.7115,408384.6154,9550307.6923,3919884.6154
10 Feb 2022,4262627.4507,342422.5352,9762985.9155,4099436.6197
11 Feb 2022,4360795.9375,296750,9672500,4330875
12 Feb 2022,4174199.6538,324923.0769,9613230.7692,4027384.6154
13 Feb 2022,4329789.6471,254588.2353,9711294.1176,4114000
14 Feb 2022,4400927.3333,315111.1111,9726962.963,4376444.4444
15 Feb 2022,4247378.775,275800,9564900,4180750
16 Feb 2022,4398780.2564,317641.0256,9608051.2821,4433384.6154
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,4504885.9412,333529.4118,9818000,4602176.4706
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,4202409,434755.5556,9413422.2222,4062133.3333
25 Feb 2022,4367707.2564,321948.7179,9795897.4359,4284153.8462
26 Feb 2022,4239952.3226,350709.6774,9575612.9032,4266258.0645
27 Feb 2022,4344502.8235,376549.0196,9496941.1765,4545882.3529
28 Feb 2022,4327204.129,263741.9355,9521290.3226,4431548.3871
