category,Average DataSegsOut,Minimum DataSegsOut,Maximum DataSegsOut,Median DataSegsOut
1 Feb 2022,50.0455,5,94.4318,51.2045
2 Feb 2022,49.8889,5.0833,94.1528,51.1111
3 Feb 2022,50.1042,5.0417,94.4167,51.375
4 Feb 2022,48.3846,5,91.3846,49.1538
5 Feb 2022,49.2258,5,93,50.2258
6 Feb 2022,48.3735,5,91.5904,49.4578
7 Feb 2022,48.3182,5,91.2273,49
8 Feb 2022,49.0492,5,92.9016,50.2295
9 Feb 2022,48.6981,4.9811,92.2453,49.6226
10 Feb 2022,48.8028,4.9155,92.2254,49.8169
11 Feb 2022,46.1176,5.0588,86.9412,47.2353
12 Feb 2022,48.5385,5,91.5,49.4231
13 Feb 2022,50.1765,4.8235,94.5882,51.2353
14 Feb 2022,49.8889,5.1667,94.4815,51.0741
15 Feb 2022,51.3095,5.2143,96.6905,52.1905
16 Feb 2022,48.5584,5.1299,91.7273,49.4416
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,47.0882,5.0294,89.6176,48.2647
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,49.0426,5.0213,92.7872,50.2979
25 Feb 2022,48.775,5.1,92.475,49.5
26 Feb 2022,47.7188,5,90.4688,49.1563
27 Feb 2022,49.3469,5,93.449,50.4694
28 Feb 2022,49.8125,5.0938,94.6563,51.2813
