category,Average RTT,Minimum RTT,Maximum RTT,Median RTT
1 Feb 2022,84514.2727,46553.2273,135742.4318,85405.9318
2 Feb 2022,47779.8194,17266.4861,89314.2778,50562.4306
3 Feb 2022,61142.5833,29800.6458,103168.875,64749.6875
4 Feb 2022,75971.3077,20988.4615,136678.5385,102313.0769
5 Feb 2022,151042.6129,98946.6452,221549.9355,164851.4516
6 Feb 2022,313817.4699,230917.5663,403645.7229,335409.4217
7 Feb 2022,278959.75,197470.9773,369544.9773,286105.9318
8 Feb 2022,249046.6557,178604,322395.1967,264495.7705
9 Feb 2022,170731.6038,148932.3396,197481.0755,173398.0566
10 Feb 2022,150116.4789,105522.5211,207998.4507,154124.9859
11 Feb 2022,56586.1765,27031.5882,119335.4706,64231.1765
12 Feb 2022,67972.1538,37320.1154,107761.9231,73381.6923
13 Feb 2022,59002.5882,35766.7059,90984,60163.2941
14 Feb 2022,56331.2222,44115,75832.2963,56918.1852
15 Feb 2022,82068.6667,45752.0476,147867.4048,76148.7619
16 Feb 2022,72605.5974,51575.3117,110301.039,70768.2338
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,63954.8824,48817.2941,92284.9412,68970.5882
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,154416.5532,117944.8936,224799,149021.7447
25 Feb 2022,135649.9,107421.1,184650.525,136336.55
26 Feb 2022,228377.9063,164752.5313,300892.2188,240976.6875
27 Feb 2022,133059,91477.3265,179242.4286,140263.5102
28 Feb 2022,21168.5313,13405.5625,39159.625,21588.9375
