category,Average DataSegsIn,Minimum DataSegsIn,Maximum DataSegsIn,Median DataSegsIn
1 Feb 2022,2541.9773,373.0455,4430.9091,2612.7273
2 Feb 2022,2105.5694,276.3889,3739.2222,2185.5
3 Feb 2022,1987.1667,205.9792,3529.6458,2041.0208
4 Feb 2022,1973.6154,252.3846,3323.7692,2000.8462
5 Feb 2022,1209.9355,31.2903,2166.3871,1289.3871
6 Feb 2022,1985.4819,8.5542,4112.3494,2067.8193
7 Feb 2022,1070.4318,28.7045,2052.5227,1095.0455
8 Feb 2022,1333.0328,61.6066,2655.6066,1367.9016
9 Feb 2022,1133.9245,78.9623,2121.8491,1170.5094
10 Feb 2022,942.8169,80.2254,1660.8028,957.7042
11 Feb 2022,2159.6471,202.7059,3929.5294,2223.1765
12 Feb 2022,944,57.6923,1662.5769,989.9615
13 Feb 2022,1011.1176,44.2353,1888.1765,1074
14 Feb 2022,1834.3333,201.6667,3336.8889,1861.7963
15 Feb 2022,1549.9762,191.119,2742.4762,1607.7857
16 Feb 2022,1306.1039,216.974,2305.2727,1318.3506
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,1275.9412,164.1176,2241.7941,1306.3235
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,306.383,28.2766,507.2979,338.1277
25 Feb 2022,565.75,40.075,1036.275,590.275
26 Feb 2022,179.5,8.875,289.8438,190.0313
27 Feb 2022,834.2449,52.5714,1428.3673,884.0816
28 Feb 2022,2642.9375,353.9688,4730.2813,2680.75
