category,Average AdvMSS,Minimum AdvMSS,Maximum AdvMSS,Median AdvMSS
1 Feb 2022,1448,1448,1448,1448
2 Feb 2022,1448,1448,1448,1448
3 Feb 2022,1448,1448,1448,1448
4 Feb 2022,1448,1448,1448,1448
5 Feb 2022,1448,1448,1448,1448
6 Feb 2022,1448,1448,1448,1448
7 Feb 2022,1448,1448,1448,1448
8 Feb 2022,1448,1448,1448,1448
9 Feb 2022,1448,1448,1448,1448
10 Feb 2022,1448,1448,1448,1448
11 Feb 2022,1448,1448,1448,1448
12 Feb 2022,1448,1448,1448,1448
13 Feb 2022,1448,1448,1448,1448
14 Feb 2022,1448,1448,1448,1448
15 Feb 2022,1448,1448,1448,1448
16 Feb 2022,1448,1448,1448,1448
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,1448,1448,1448,1448
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,1448,1448,1448,1448
25 Feb 2022,1448,1448,1448,1448
26 Feb 2022,1448,1448,1448,1448
27 Feb 2022,1448,1448,1448,1448
28 Feb 2022,1448,1448,1448,1448
