category,Average SegsIn,Minimum SegsIn,Maximum SegsIn,Median SegsIn
1 Feb 2022,4584.0909,688.5227,8846.6136,4646.8636
2 Feb 2022,3705.6944,460.9583,7302.25,3720.0694
3 Feb 2022,3632.6735,424.4694,7125.6939,3680.7551
4 Feb 2022,2556.6923,228,5107.0769,2608.4615
5 Feb 2022,2232.7742,113.7097,5182.0323,2094.129
6 Feb 2022,916.8571,15.0595,2461.1548,799.25
7 Feb 2022,1182,41.5814,2839.5814,1139.2093
8 Feb 2022,1240.9836,56.3115,2963.6721,1180.0328
9 Feb 2022,1444.0577,62.1538,3485.2115,1355.7115
10 Feb 2022,1567.6901,67.6901,3676.4225,1519.0704
11 Feb 2022,1475.6875,89.6875,3417.3125,1375.125
12 Feb 2022,905.6154,83.6923,1905.8846,905.0385
13 Feb 2022,856.3529,60.9412,1832.2941,813.4118
14 Feb 2022,2610.5741,151.1111,5747.4259,2562.1481
15 Feb 2022,2122.05,107.925,4703.325,2149.875
16 Feb 2022,2317.2692,122.4103,5096.2949,2374.7179
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,2339.0294,111.2941,5144.0882,2335.5882
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,789.2,38.9111,1837.6444,742.9111
25 Feb 2022,1283.4872,66.0513,2823.4103,1273.8205
26 Feb 2022,834,22.8065,1910.8387,842.3871
27 Feb 2022,893.4314,45.5882,1984.6471,910.8627
28 Feb 2022,3113.1935,185.3871,6867.8387,3187.5161
