category,Average ATO,Minimum ATO,Maximum ATO,Median ATO
1 Feb 2022,40614.2955,40000,49545.4545,40090.9091
2 Feb 2022,42244.0833,40000,67944.4444,42833.3333
3 Feb 2022,41526.6458,40000,56416.6667,40500
4 Feb 2022,41010.7692,40000,50769.2308,40307.6923
5 Feb 2022,41754.6452,40000,73032.2581,40387.0968
6 Feb 2022,41701.8072,40000,66361.4458,43132.5301
7 Feb 2022,43754.7955,40000,69181.8182,42909.0909
8 Feb 2022,47017.377,40000,89508.1967,48360.6557
9 Feb 2022,44159.8679,40000,84905.6604,42905.6604
10 Feb 2022,46233.1549,40000,85464.7887,45521.1268
11 Feb 2022,41138.8235,40000,55294.1176,41647.0588
12 Feb 2022,41901.3077,40000,59846.1538,43307.6923
13 Feb 2022,41232,40000,61176.4706,40000
14 Feb 2022,45848.9815,40000,89259.2593,55259.2593
15 Feb 2022,43882.0238,40000,77809.5238,43476.1905
16 Feb 2022,48835.8831,40000,92519.4805,47506.4935
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,42431.8529,40000,65529.4118,42000
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,49633.2766,40000,93872.3404,51361.7021
25 Feb 2022,56178.85,40000,113100,66300
26 Feb 2022,55771.4063,40000,133000,54875
27 Feb 2022,49311,40000,102204.0816,53265.3061
28 Feb 2022,44317.9688,40000,63875,45250
