category,Average DataSegsIn,Minimum DataSegsIn,Maximum DataSegsIn,Median DataSegsIn
1 Feb 2022,10.75,3,19.8864,11.1591
2 Feb 2022,11.0278,3,20.2778,11.5139
3 Feb 2022,11.1224,3,20.2653,11.4694
4 Feb 2022,10.8462,3,19.2308,11.0769
5 Feb 2022,10.7742,3,19.6774,11.0645
6 Feb 2022,7.119,3,12.5238,7.3452
7 Feb 2022,7.6512,3,13.6279,7.7209
8 Feb 2022,7.3607,2.9836,13.1803,7.6393
9 Feb 2022,7.7115,3.0192,13.7308,7.9423
10 Feb 2022,9.1268,3.0141,16.7042,9.3521
11 Feb 2022,10,3,18.25,10.25
12 Feb 2022,9.9231,3.0385,17.8462,10.2692
13 Feb 2022,10.8824,3.0588,19.8824,11.1176
14 Feb 2022,9.5185,3.0185,17.1481,9.6111
15 Feb 2022,8.9,3,16.05,9.075
16 Feb 2022,8.8974,3.0128,16.2821,9.2436
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,8.5294,2.9118,15.3529,8.6176
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,7.4,3,13.2889,7.4889
25 Feb 2022,8,2.9744,14.2051,8.2308
26 Feb 2022,7.7742,3,13.8387,7.9677
27 Feb 2022,8.5882,2.9608,15.5294,8.9216
28 Feb 2022,9.5806,3,17.4516,10.0645
