category,Average DeliveryRate,Minimum DeliveryRate,Maximum DeliveryRate,Median DeliveryRate
1 Feb 2022,1153498.0682,1111893.8864,1175380.2045,1152095.1364
2 Feb 2022,842339.8333,780523.2917,864194.5833,842178.3889
3 Feb 2022,747595.0833,719435.8958,754465.7708,748489.5208
4 Feb 2022,492374.0769,428685.9231,520550.3846,499108.3846
5 Feb 2022,93008.4516,83616.3226,97234.3226,94638.5161
6 Feb 2022,27746.9518,22647.0482,31420.4096,28535.3012
7 Feb 2022,153288.2045,80340.3409,179888.3864,162592.6364
8 Feb 2022,187815.7213,159062.459,204256.623,193110.9672
9 Feb 2022,245311.4717,183552.4528,269743.2453,256187.0377
10 Feb 2022,218410.2254,184669.4789,231262.7324,222801.1408
11 Feb 2022,405893.2941,384741.5294,414497.6471,407384.7647
12 Feb 2022,120576.8462,107712.8846,125160.5769,120309.5385
13 Feb 2022,126891,114469.4706,129871.7059,128931.1765
14 Feb 2022,519790.9815,453451.9259,571471.7407,525243.1111
15 Feb 2022,508868.6905,427747.0238,553998.8095,489153.0952
16 Feb 2022,551283.1558,514236.4156,560795.8312,553601.3506
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,489067.8529,315681.1176,551474.2353,475740.0588
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,105333.6809,87364,114087.5106,110487.5957
25 Feb 2022,169905.925,132664.1,184050.075,167951.15
26 Feb 2022,43244.2188,39106.1875,45666.5625,43968
27 Feb 2022,73948.5102,69078.0816,76762.3878,74701.0204
28 Feb 2022,813201.4063,630643.9375,883650.2813,802123.6563
