category,Average Lost,Minimum Lost,Maximum Lost,Median Lost
1 Feb 2022,1.5455,0,13.1136,0.8636
2 Feb 2022,0.875,0,9.6667,0.4722
3 Feb 2022,0.5714,0,5.3061,1.0612
4 Feb 2022,0.7692,0,6.9231,1.1538
5 Feb 2022,1.0645,0,11.7419,5.7742
6 Feb 2022,2.7619,0,20.0238,0.881
7 Feb 2022,3.3953,0,25.2093,2.4651
8 Feb 2022,1.8852,0,15.3934,1.5902
9 Feb 2022,2.5769,0,18.5,1.6731
10 Feb 2022,0.7746,0,6.3944,1.0563
11 Feb 2022,0.125,0,1.375,0.3125
12 Feb 2022,0.1154,0,1.6154,0.1154
13 Feb 2022,0,0,0.4118,0
14 Feb 2022,1,0.0556,9.6852,0.963
15 Feb 2022,0.9,0,6.35,0.725
16 Feb 2022,1.0641,0,10.1795,1.1923
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,1.1176,0,9.6471,1.7353
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,0.8667,0,6.0444,0.7111
25 Feb 2022,0.7179,0,4.5897,0.6154
26 Feb 2022,0.3871,0,1.8387,0.6774
27 Feb 2022,0.6275,0,3.098,0.4902
28 Feb 2022,1.5806,0,14.9032,1.2903
