category,Average Sacked,Minimum Sacked,Maximum Sacked,Median Sacked
1 Feb 2022,11.2955,0,75.5909,11.6364
2 Feb 2022,4.9583,0,51.2222,5.4444
3 Feb 2022,4.6531,0,31.3265,8.1837
4 Feb 2022,5.8462,0,46.1538,5.7692
5 Feb 2022,28.3226,0,224.7419,30.9677
6 Feb 2022,74.0595,0,330.3333,110.75
7 Feb 2022,100.0465,0,372.6047,211.3721
8 Feb 2022,66.7869,0,240.918,139.9508
9 Feb 2022,58.8077,0,217.9423,98.9423
10 Feb 2022,37.3803,0,146.6338,75.4648
11 Feb 2022,3.1875,0,39.3125,3.4375
12 Feb 2022,2.5,0,17,4.5769
13 Feb 2022,0.5294,0,9.5882,0
14 Feb 2022,20.6667,0.0926,124.5556,17.9444
15 Feb 2022,9.725,0,55.3,11.675
16 Feb 2022,12.6026,0,79.6667,14.3462
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,23.4412,0,134.2941,31.6471
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,32.5556,0,144.8889,26.1556
25 Feb 2022,25.4359,0,138.4615,22.4872
26 Feb 2022,26.7419,0,128.8387,34.3226
27 Feb 2022,18.9608,0,88.549,28.3333
28 Feb 2022,11.8065,0,96.9677,10.6774
