category,Average NotsentBytes,Minimum NotsentBytes,Maximum NotsentBytes,Median NotsentBytes
1 Feb 2022,0,0,0,0
2 Feb 2022,1.1667,0,32.4722,0
3 Feb 2022,0.6042,0,24.3333,0
4 Feb 2022,0,0,0,0
5 Feb 2022,0,0,0,0
6 Feb 2022,0.3012,0,14.6747,0
7 Feb 2022,142.5909,0,525.8864,247.0227
8 Feb 2022,58.0656,0,403.4098,0
9 Feb 2022,0.9811,0,44.1132,0
10 Feb 2022,1.2394,0,49.8169,0
11 Feb 2022,1.5294,0,68,0
12 Feb 2022,0,0,0,0
13 Feb 2022,0,0,0,0
14 Feb 2022,1.9444,0,65.7593,0
15 Feb 2022,11.0714,0,167.6429,41.5238
16 Feb 2022,0,0,0,0
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,0.8235,0,35.7353,0
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,0.5532,0,25.9574,0
25 Feb 2022,3.475,0,89.025,0
26 Feb 2022,10.1563,0,222.2188,0
27 Feb 2022,2.3878,0,48.6939,0
28 Feb 2022,90.4063,0,478.25,0
