category,Average ATO,Minimum ATO,Maximum ATO,Median ATO
1 Feb 2022,40003.9545,40000,40090.9091,40000
2 Feb 2022,40000,40000,40000,40000
3 Feb 2022,40000,40000,40000,40000
4 Feb 2022,40000,40000,40000,40000
5 Feb 2022,40055.2903,40000,40387.0968,40387.0968
6 Feb 2022,40027.7738,40000,40285.7143,40000
7 Feb 2022,40000,40000,40000,40000
8 Feb 2022,40000,40000,40000,40000
9 Feb 2022,40000,40000,40000,40000
10 Feb 2022,40000,40000,40000,40000
11 Feb 2022,40000,40000,40000,40000
12 Feb 2022,40000,40000,40000,40000
13 Feb 2022,40000,40000,40000,40000
14 Feb 2022,40017.7778,40000,40222.2222,40222.2222
15 Feb 2022,40000,40000,40000,40000
16 Feb 2022,40029.8718,40000,40358.9744,40000
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,40000,40000,40000,40000
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,40038.0889,40000,40266.6667,40000
25 Feb 2022,40000,40000,40000,40000
26 Feb 2022,40051.6129,40000,40258.0645,40000
27 Feb 2022,40000,40000,40000,40000
28 Feb 2022,40000,40000,40000,40000
