category,Average DsackDups,Minimum DsackDups,Maximum DsackDups,Median DsackDups
1 Feb 2022,1.4773,0,2.4091,1.6364
2 Feb 2022,2.0833,0.0139,3.4583,2.3333
3 Feb 2022,1.9792,0.0208,3.1458,2.1667
4 Feb 2022,1.7692,0,3.0769,1.9231
5 Feb 2022,0.9677,0,1.3871,1.0968
6 Feb 2022,0.1325,0,0.1928,0.1446
7 Feb 2022,0.5227,0,0.9091,0.5682
8 Feb 2022,0.541,0,1.082,0.6393
9 Feb 2022,0.6604,0,1.3208,0.6792
10 Feb 2022,1.7042,0,2.7746,1.8873
11 Feb 2022,1.8824,0,3.2941,2.0588
12 Feb 2022,1.0385,0,1.3462,1.1538
13 Feb 2022,1.2941,0,1.5294,1.4118
14 Feb 2022,0.9074,0.0185,1.7593,0.9074
15 Feb 2022,1.5476,0,2.5714,1.6667
16 Feb 2022,1.0779,0.039,1.8312,1.1299
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,1.4412,0,3.3824,1.5294
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,0.8085,0.0213,1.6596,0.8298
25 Feb 2022,0.6,0.025,1.2,0.525
26 Feb 2022,0.4063,0,0.75,0.375
27 Feb 2022,0.4898,0,0.7347,0.4898
28 Feb 2022,1,0,2.125,1.0313
