category,Average RWndLimited,Minimum RWndLimited,Maximum RWndLimited,Median RWndLimited
1 Jun 2022,193738.1647,188.2353,280564.7059,250682.3529
2 Jun 2022,104025.125,500,162111.1111,126166.6667
3 Jun 2022,103185.7759,0,152068.9655,129517.2414
4 Jun 2022,58576.1304,0,72000,72000
5 Jun 2022,60987.6486,0,73405.4054,73405.4054
6 Jun 2022,239906.3269,0,435923.0769,276038.4615
7 Jun 2022,180071.5802,3901.2346,281530.8642,214913.5802
8 Jun 2022,136184.4464,0,203142.8571,172785.7143
9 Jun 2022,62385.1512,0,95395.3488,78465.1163
10 Jun 2022,83670.1346,153.8462,114769.2308,107230.7692
11 Jun 2022,90618.4697,0,122303.0303,105393.9394
12 Jun 2022,48686.1698,150.9434,66641.5094,60603.7736
13 Jun 2022,97973.9878,0,156975.6098,115658.5366
14 Jun 2022,156512.9432,1090.9091,251545.4545,194681.8182
15 Jun 2022,178774.7209,0,352837.2093,175302.3256
16 Jun 2022,142440.6701,123.7113,221484.5361,178288.6598
17 Jun 2022,138667,0,192000,192000
18 Jun 2022,0,0,0,0
19 Jun 2022,0,0,0,0
20 Jun 2022,0,0,0,0
21 Jun 2022,0,0,0,0
22 Jun 2022,0,0,0,0
23 Jun 2022,0,0,0,0
24 Jun 2022,0,0,0,0
25 Jun 2022,0,0,0,0
26 Jun 2022,0,0,0,0
27 Jun 2022,0,0,0,0
28 Jun 2022,0,0,0,0
29 Jun 2022,0,0,0,0
30 Jun 2022,0,0,0,0
