category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Jun 2022,1385.9767,1142.5349,1393.4651,1393.4651
2 Jun 2022,1364.5556,1225.5833,1368,1368
3 Jun 2022,1361.0172,1103.069,1367.4828,1367.4828
4 Jun 2022,1381.0435,1198.8696,1384.9565,1384.9565
5 Jun 2022,1365.8158,1239.7895,1368.7895,1368.7895
6 Jun 2022,1396.48,1035.36,1406.4,1406.4
7 Jun 2022,1387.3875,1111.1,1395.375,1395.375
8 Jun 2022,1395.3509,1049.1228,1405.8947,1405.8947
9 Jun 2022,1366.3023,1124.7442,1372.5349,1372.5349
10 Jun 2022,1376.0962,1279.5,1378.9615,1378.9615
11 Jun 2022,1372.4776,1144.0299,1378.2985,1378.2985
12 Jun 2022,1363.3846,1168.5,1369.1538,1369.1538
13 Jun 2022,1363.8171,1262.1463,1366.5366,1366.5366
14 Jun 2022,1366.0575,1119.0115,1374.2069,1374.2069
15 Jun 2022,1379.4186,967.2558,1392.4186,1392.4186
16 Jun 2022,1366.8454,1183.8557,1372.3299,1372.3299
17 Jun 2022,1428,1428,1428,1428
18 Jun 2022,0,0,0,0
19 Jun 2022,0,0,0,0
20 Jun 2022,0,0,0,0
21 Jun 2022,0,0,0,0
22 Jun 2022,0,0,0,0
23 Jun 2022,0,0,0,0
24 Jun 2022,0,0,0,0
25 Jun 2022,0,0,0,0
26 Jun 2022,0,0,0,0
27 Jun 2022,0,0,0,0
28 Jun 2022,0,0,0,0
29 Jun 2022,0,0,0,0
30 Jun 2022,0,0,0,0
