category,Average Sacked,Minimum Sacked,Maximum Sacked,Median Sacked
1 Jun 2022,57.6235,0,401.4588,28.2235
2 Jun 2022,43.1111,0,304.0833,24.8611
3 Jun 2022,41.569,0,287.1724,27.6724
4 Jun 2022,54.1304,0,455.1304,16.4783
5 Jun 2022,30.9459,0,315.8378,15.6216
6 Jun 2022,64.0385,0,414.9423,74.8654
7 Jun 2022,70,0,439.4568,50.5185
8 Jun 2022,64.6071,0,388.25,59.2321
9 Jun 2022,27.407,0.0465,181.7558,21.5
10 Jun 2022,24.4038,0.0962,121.3269,29.7308
11 Jun 2022,41.5,0,366.6212,14.8182
12 Jun 2022,24.9623,0,273.0566,9.8679
13 Jun 2022,48.0976,0,357.5366,33.8415
14 Jun 2022,46.875,0,342.6705,62.5227
15 Jun 2022,40.9535,0,261.6512,45.6047
16 Jun 2022,44.134,0.0412,260.6907,44.8969
17 Jun 2022,75,0,912,0
18 Jun 2022,0,0,0,0
19 Jun 2022,0,0,0,0
20 Jun 2022,0,0,0,0
21 Jun 2022,0,0,0,0
22 Jun 2022,0,0,0,0
23 Jun 2022,0,0,0,0
24 Jun 2022,0,0,0,0
25 Jun 2022,0,0,0,0
26 Jun 2022,0,0,0,0
27 Jun 2022,0,0,0,0
28 Jun 2022,0,0,0,0
29 Jun 2022,0,0,0,0
30 Jun 2022,0,0,0,0
