category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Jun 2022,0.407,0.0581,0.6628,0.407
2 Jun 2022,0.5,0,0.8472,0.5417
3 Jun 2022,0.5517,0,0.8966,0.5862
4 Jun 2022,0.6522,0.0435,0.8696,0.7391
5 Jun 2022,1.3684,0,2.0263,1.6053
6 Jun 2022,0.52,0,0.78,0.56
7 Jun 2022,0.3625,0.025,0.4625,0.35
8 Jun 2022,0.8246,0.0877,1.5439,0.8772
9 Jun 2022,1.8605,0.7791,2.9302,1.8605
10 Jun 2022,1.9231,0.6154,3.0769,1.9808
11 Jun 2022,1.2239,0.2537,2.0448,1.3284
12 Jun 2022,1.5192,0.0385,2.0962,1.8269
13 Jun 2022,1.622,0.0488,2.4756,1.8171
14 Jun 2022,0.931,0.023,1.6667,1.0115
15 Jun 2022,0.4651,0.1628,0.6279,0.4884
16 Jun 2022,1.3814,0.7732,2.0103,1.299
17 Jun 2022,0,0,0,0
18 Jun 2022,0,0,0,0
19 Jun 2022,0,0,0,0
20 Jun 2022,0,0,0,0
21 Jun 2022,0,0,0,0
22 Jun 2022,0,0,0,0
23 Jun 2022,0,0,0,0
24 Jun 2022,0,0,0,0
25 Jun 2022,0,0,0,0
26 Jun 2022,0,0,0,0
27 Jun 2022,0,0,0,0
28 Jun 2022,0,0,0,0
29 Jun 2022,0,0,0,0
30 Jun 2022,0,0,0,0
