category,Average DsackDups,Minimum DsackDups,Maximum DsackDups,Median DsackDups
1 Nov 2022,0,0,0,0
2 Nov 2022,0.9565,0,1.1739,1.087
3 Nov 2022,0,0,0,0
4 Nov 2022,1.4,0,1.7,1.4
5 Nov 2022,0.2,0,0.2,0.2
6 Nov 2022,0.8462,0,0.8462,0.8462
7 Nov 2022,0.4615,0.0769,0.7692,0.3846
8 Nov 2022,0.3,0.1,0.55,0.3
9 Nov 2022,0.4231,0.1154,0.5769,0.4615
10 Nov 2022,0.2115,0.0577,0.4038,0.2692
11 Nov 2022,0.0938,0,0.1875,0.125
12 Nov 2022,0.2143,0.0714,0.2143,0.2143
13 Nov 2022,0.5714,0,0.6071,0.5714
14 Nov 2022,0.5405,0.027,0.8919,0.6486
15 Nov 2022,1.6582,0.0633,2.443,1.9114
16 Nov 2022,0.1304,0,0.2826,0.1304
17 Nov 2022,0.5385,0.0769,0.7692,0.6154
18 Nov 2022,0.3333,0,0.5556,0.3333
19 Nov 2022,1.0556,0.1111,1.3889,1.1111
20 Nov 2022,0.25,0.125,0.375,0.25
21 Nov 2022,1.9474,0.0526,3.2105,2.1053
22 Nov 2022,1.2353,0,2.0588,1.4118
23 Nov 2022,0.2308,0,0.3462,0.2308
24 Nov 2022,1.2857,0.0714,1.8571,1.2857
25 Nov 2022,0.2857,0.0571,0.4,0.3429
26 Nov 2022,0,0,0,0
27 Nov 2022,1,0,1.2222,1.2222
28 Nov 2022,0.5122,0.0244,0.6585,0.6098
29 Nov 2022,0.3784,0.0541,0.6216,0.4324
30 Nov 2022,0.2444,0.0222,0.3556,0.2222
