category,Average Sacked,Minimum Sacked,Maximum Sacked,Median Sacked
1 Nov 2022,30.2143,0,306.9286,24.5714
2 Nov 2022,27.3182,0.0909,156.8182,23.2727
3 Nov 2022,75.5,0,464.6364,59.4545
4 Nov 2022,13.15,0,110.3,1.05
5 Nov 2022,3.2,0,11.4,0.8
6 Nov 2022,1.6154,0,6.3077,1
7 Nov 2022,27.75,0.1667,163.5,18.5
8 Nov 2022,66,0,419.55,61.75
9 Nov 2022,73.9808,0,491.9808,48.9808
10 Nov 2022,76.25,0,574.5385,47.6923
11 Nov 2022,92.0303,0,593.0303,101.6061
12 Nov 2022,76.6429,0,616.2143,17.9286
13 Nov 2022,2.3571,0,13.6786,1.25
14 Nov 2022,76,0,436.2105,64.6316
15 Nov 2022,38.5769,0,294.4487,17.2821
16 Nov 2022,65.1087,0,495.0217,48.2391
17 Nov 2022,61.4231,0,487.1154,29.7692
18 Nov 2022,30.4444,0,360.2222,0
19 Nov 2022,9.8333,0,91.9444,17.1667
20 Nov 2022,89.625,0,526.6875,100.625
21 Nov 2022,59.9474,0,279.6842,77
22 Nov 2022,28.9412,0,185.9412,36.6471
23 Nov 2022,10.3846,0,93.6923,4.1923
24 Nov 2022,32.4167,0,134.9167,5
25 Nov 2022,92.9714,0,511.4,79.2
26 Nov 2022,0,0,0,0
27 Nov 2022,7.6667,0,107.5,7.3889
28 Nov 2022,30.3415,0,208,24.5122
29 Nov 2022,54.0833,0,500.5556,15.5278
30 Nov 2022,24.8222,0.0889,223.6444,15.9333
