category,Average RWndLimited,Minimum RWndLimited,Maximum RWndLimited,Median RWndLimited
1 Nov 2022,148444.3571,0,241142.8571,176285.7143
2 Nov 2022,124860.1818,0,277090.9091,118818.1818
3 Nov 2022,321093.5455,0,545636.3636,386909.0909
4 Nov 2022,37208.45,0,109000,28200
5 Nov 2022,0,0,0,0
6 Nov 2022,0,0,0,0
7 Nov 2022,117076,0,198333.3333,134666.6667
8 Nov 2022,321238.35,0,440800,404500
9 Nov 2022,239662.3654,0,397692.3077,272923.0769
10 Nov 2022,207527.2885,0,349230.7692,238692.3077
11 Nov 2022,258371.5152,0,388848.4848,313515.1515
12 Nov 2022,91686,0,108000,108000
13 Nov 2022,30346.9286,0,38714.2857,38714.2857
14 Nov 2022,186217.8947,631.5789,286105.2632,220736.8421
15 Nov 2022,114358.7949,256.4103,167589.7436,128256.4103
16 Nov 2022,163662.3478,0,305913.0435,168565.2174
17 Nov 2022,199229.2308,2000,314615.3846,231076.9231
18 Nov 2022,48871.2222,0,62666.6667,62666.6667
19 Nov 2022,58933.3333,0,148666.6667,53555.5556
20 Nov 2022,290135.25,0,389000,371250
21 Nov 2022,114284.9474,0,197894.7368,128421.0526
22 Nov 2022,85334.1765,0,155294.1176,80705.8824
23 Nov 2022,9032.9615,0,14769.2308,11692.3077
24 Nov 2022,129269.6667,0,178000,162000
25 Nov 2022,238752.9143,0,344000,284228.5714
26 Nov 2022,0,0,0,0
27 Nov 2022,0,0,0,0
28 Nov 2022,37731.4878,0,45268.2927,45268.2927
29 Nov 2022,103480.8611,0,125777.7778,124666.6667
30 Nov 2022,97428.5333,0,191466.6667,93777.7778
