category,Average Unacked,Minimum Unacked,Maximum Unacked,Median Unacked
1 Nov 2022,1,0,4.4286,0.9286
2 Nov 2022,0.8696,0,4.5217,1.087
3 Nov 2022,0.9545,0,4.0909,1.2273
4 Nov 2022,1.05,0,4.9,1.25
5 Nov 2022,0.4,0,3,0.4
6 Nov 2022,0.4615,0,3.4615,0.6923
7 Nov 2022,1.8462,0.0769,5.5385,2.1538
8 Nov 2022,0.75,0,4,0.85
9 Nov 2022,1.1346,0,4.75,1.0769
10 Nov 2022,1.0769,0,4.8077,1
11 Nov 2022,1.1875,0,5.0938,1.4375
12 Nov 2022,0.7857,0,3.8571,1
13 Nov 2022,0.25,0,3.2857,0.5
14 Nov 2022,0.8919,0,3.9189,0.7027
15 Nov 2022,1.5443,0.0253,6.0127,1.6329
16 Nov 2022,1.413,0,6,1.1304
17 Nov 2022,1,0,4.6923,0.8077
18 Nov 2022,2.2222,0,6.5556,3.5556
19 Nov 2022,0.8889,0,4.4444,1
20 Nov 2022,1.125,0,4.6875,1.5625
21 Nov 2022,0.9474,0,4.7895,0.8947
22 Nov 2022,0.5882,0,3.8824,0.8235
23 Nov 2022,0.3462,0,3.3846,0.6923
24 Nov 2022,0.5,0,3.5,0.5
25 Nov 2022,0.8571,0,4.4857,1.2
26 Nov 2022,0,0,0,0
27 Nov 2022,1.1111,0,5.7778,0.9444
28 Nov 2022,0.2439,0,2.4878,0.3902
29 Nov 2022,1.1081,0.027,4.0541,1.1622
30 Nov 2022,0.4444,0,3.1556,0.5556
