category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Nov 2022,0.0714,0,0.0714,0.0714
2 Nov 2022,1.913,0.6957,3.2174,1.8696
3 Nov 2022,0,0,0,0
4 Nov 2022,0.95,0.15,1.5,0.85
5 Nov 2022,3.4,1.6,5.4,3.6
6 Nov 2022,5,1.3846,7.4615,5.3077
7 Nov 2022,1.6154,0.3846,2.9231,1.6154
8 Nov 2022,0.4,0.1,0.75,0.35
9 Nov 2022,0.7308,0.2885,1.0769,0.8077
10 Nov 2022,0.2308,0.0577,0.4231,0.2885
11 Nov 2022,0.1563,0,0.3125,0.125
12 Nov 2022,0.2857,0.0714,0.3571,0.3571
13 Nov 2022,1.2143,0.1071,1.9643,1.1429
14 Nov 2022,0.6216,0.1081,1,0.7297
15 Nov 2022,2.1013,0.1772,3.2025,2.3418
16 Nov 2022,0.2391,0.0217,0.5435,0.1957
17 Nov 2022,0.5385,0.0769,0.7692,0.6154
18 Nov 2022,0.3333,0,0.5556,0.3333
19 Nov 2022,1,0.1111,1.2778,1.0556
20 Nov 2022,0.6875,0.25,0.8125,0.6875
21 Nov 2022,3,0.1579,5.6316,3.4211
22 Nov 2022,2,0.2353,3.3529,2.3529
23 Nov 2022,0.2692,0,0.5769,0.2308
24 Nov 2022,1.5,0.0714,2.8571,1.5
25 Nov 2022,0.2857,0.0857,0.4,0.3429
26 Nov 2022,0,0,0,0
27 Nov 2022,1,0,1.3889,1.2222
28 Nov 2022,0.5122,0.0244,0.7073,0.6098
29 Nov 2022,0.6486,0.1622,1.6486,0.5135
30 Nov 2022,1.1556,0.5778,1.8222,1.2
