category,Average Lost,Minimum Lost,Maximum Lost,Median Lost
1 Nov 2022,0,0,0.0714,0
2 Nov 2022,0,0,0.1304,0.0435
3 Nov 2022,0,0,0,0
4 Nov 2022,0,0,0.3,0
5 Nov 2022,0,0,0.6,0
6 Nov 2022,0,0,0.5385,0
7 Nov 2022,0.3077,0,0.8462,0.4615
8 Nov 2022,0,0,0,0
9 Nov 2022,0.0192,0,0.4231,0.0192
10 Nov 2022,0,0,0.0192,0.0192
11 Nov 2022,0.0938,0,0.5625,0
12 Nov 2022,0,0,0.0714,0
13 Nov 2022,0,0,0.2143,0
14 Nov 2022,0,0,0.027,0
15 Nov 2022,0.0506,0,0.3165,0.1013
16 Nov 2022,0.0217,0,0.2391,0.0217
17 Nov 2022,0,0,0,0
18 Nov 2022,0,0,0,0
19 Nov 2022,0,0,0,0
20 Nov 2022,0.0625,0,0.625,0
21 Nov 2022,0,0,0.4737,0.0526
22 Nov 2022,0,0,0.1765,0
23 Nov 2022,0,0,0,0
24 Nov 2022,0,0,0.2857,0
25 Nov 2022,0,0,0.1429,0
26 Nov 2022,0,0,0,0
27 Nov 2022,0,0,0.0556,0
28 Nov 2022,0,0,0,0
29 Nov 2022,0.2162,0,0.3784,0.2703
30 Nov 2022,0,0,0.0444,0
