category,Average Retransmits,Minimum Retransmits,Maximum Retransmits,Median Retransmits
1 Nov 2022,0,0,0,0
2 Nov 2022,0,0,0.1304,0.0435
3 Nov 2022,0,0,0,0
4 Nov 2022,0,0,0.05,0
5 Nov 2022,0,0,0,0
6 Nov 2022,0,0,0.1538,0
7 Nov 2022,0,0,0.0769,0
8 Nov 2022,0,0,0,0
9 Nov 2022,0,0,0.0769,0
10 Nov 2022,0,0,0,0
11 Nov 2022,0,0,0.0938,0
12 Nov 2022,0,0,0,0
13 Nov 2022,0,0,0.0357,0
14 Nov 2022,0,0,0,0
15 Nov 2022,0.0253,0,0.1013,0.0506
16 Nov 2022,0,0,0.0217,0
17 Nov 2022,0,0,0,0
18 Nov 2022,0,0,0,0
19 Nov 2022,0,0,0,0
20 Nov 2022,0,0,0.0625,0
21 Nov 2022,0,0,0.1053,0
22 Nov 2022,0,0,0.0588,0
23 Nov 2022,0,0,0,0
24 Nov 2022,0,0,0,0
25 Nov 2022,0,0,0.0571,0
26 Nov 2022,0,0,0,0
27 Nov 2022,0,0,0,0
28 Nov 2022,0,0,0,0
29 Nov 2022,0.027,0,0.0811,0.027
30 Nov 2022,0.0222,0,0.0889,0
