category,Average BytesRetrans,Minimum BytesRetrans,Maximum BytesRetrans,Median BytesRetrans
1 Nov 2022,69.2143,0,83.5,83.5
2 Nov 2022,1405.1739,930.7826,2631.8696,1217.1739
3 Nov 2022,0,0,0,0
4 Nov 2022,277.15,160.85,499,246.7
5 Nov 2022,3581.4,1981.4,4964.4,3796.8
6 Nov 2022,4698.4615,1730,6964.2308,5014.3077
7 Nov 2022,758.0769,219.6923,1718.0769,741.0769
8 Nov 2022,63.1,27.1,109.15,37.85
9 Nov 2022,460.0577,185.9423,694.2115,515.3269
10 Nov 2022,65.75,15.6346,95.4423,89.6538
11 Nov 2022,57.4063,0,153.8125,40.4688
12 Nov 2022,103.1429,38.6429,128.0714,128.0714
13 Nov 2022,672.5357,67.1071,1411.2857,689.3571
14 Nov 2022,117.7027,94.2703,132.6216,121
15 Nov 2022,797.5316,139.1266,1388.3924,860.6582
16 Nov 2022,106.0217,5.8913,289.5217,60.5
17 Nov 2022,85.6154,65.3462,95.1154,88.5
18 Nov 2022,16,0,23.8889,14.3333
19 Nov 2022,116.5,30.1111,205.5556,133.1111
20 Nov 2022,313.9375,140.0625,441.5,294.1875
21 Nov 2022,1217.7895,98.4211,2416.6316,1367.9474
22 Nov 2022,818.4118,267.9412,1301.1765,840.6471
23 Nov 2022,40.7308,0,196.6923,9.9231
24 Nov 2022,528.7857,19.3571,1323.7143,466.6429
25 Nov 2022,75.8571,23.2286,101.1714,98.7143
26 Nov 2022,0,0,0,0
27 Nov 2022,55.2778,0,120.5,52.5556
28 Nov 2022,48.2195,6.6098,88.9024,31.2683
29 Nov 2022,327.7838,106.4865,1258.4595,181.5946
30 Nov 2022,1136.6889,654.8,1648.0667,1139.0222
