category,Average ReordSeen,Minimum ReordSeen,Maximum ReordSeen,Median ReordSeen
1 Nov 2022,0,0,0,0
2 Nov 2022,0,0,0,0
3 Nov 2022,0,0,0,0
4 Nov 2022,1.05,1.05,1.05,1.05
5 Nov 2022,0,0,0,0
6 Nov 2022,0.0769,0,0.0769,0.0769
7 Nov 2022,0.0769,0.0769,0.0769,0.0769
8 Nov 2022,0.15,0.15,0.15,0.15
9 Nov 2022,0,0,0,0
10 Nov 2022,0,0,0,0
11 Nov 2022,0.0938,0.0938,0.0938,0.0938
12 Nov 2022,0,0,0,0
13 Nov 2022,0.0357,0,0.0357,0.0357
14 Nov 2022,0.0811,0.0811,0.0811,0.0811
15 Nov 2022,0.0886,0.0633,0.1013,0.0886
16 Nov 2022,0,0,0.0217,0
17 Nov 2022,0,0,0,0
18 Nov 2022,0.4444,0.4444,0.4444,0.4444
19 Nov 2022,0,0,0,0
20 Nov 2022,0,0,0,0
21 Nov 2022,1.7895,0.3684,3.3158,1.7895
22 Nov 2022,2.5882,0,5.7647,2.4706
23 Nov 2022,0.1923,0.1923,0.1923,0.1923
24 Nov 2022,1.2857,0,2.3571,1.5
25 Nov 2022,0.2857,0.2571,0.3143,0.2857
26 Nov 2022,0,0,0,0
27 Nov 2022,0,0,0,0
28 Nov 2022,0.0732,0.0732,0.0732,0.0732
29 Nov 2022,0.3243,0.3243,0.3243,0.3243
30 Nov 2022,0.0667,0.0667,0.0667,0.0667
