category,Average SegsIn,Minimum SegsIn,Maximum SegsIn,Median SegsIn
1 Nov 2022,3785.3571,113.0714,7171.2143,3977.2857
2 Nov 2022,939.0435,28.7391,1624.7826,971.7391
3 Nov 2022,2176.9545,48.6364,3837.0455,2251.0455
4 Nov 2022,770.45,72.6,1305.8,786.25
5 Nov 2022,722.6,84.4,1180.4,746.8
6 Nov 2022,725.6154,132.7692,1176.8462,740.1538
7 Nov 2022,1188.8462,66.3077,1965.4615,1237
8 Nov 2022,3444.25,212.35,6027.25,3625.55
9 Nov 2022,1974.0192,36.1154,3663.25,2054.4038
10 Nov 2022,2174.75,39.8269,4177.4808,2261.6346
11 Nov 2022,1421.125,34.625,2737,1440.5625
12 Nov 2022,4174.8571,135,7971.7857,4279
13 Nov 2022,738.6071,97.7143,1184.8214,761.6071
14 Nov 2022,4109.6486,219.0541,7879.7838,4388.8649
15 Nov 2022,2383.2405,172.962,4389.8101,2550.7089
16 Nov 2022,2086.2826,59.7609,3804.5652,2143.5
17 Nov 2022,2408.3077,28.4615,4368.7692,2631.6923
18 Nov 2022,1926.6667,43.1111,3294.6667,2098.5556
19 Nov 2022,2862.6667,60.6111,5212.6111,3121.2222
20 Nov 2022,4098.6875,87.125,7954.9375,4138.6875
21 Nov 2022,4786.8947,466.9474,8185.3158,4914.7368
22 Nov 2022,1982.2353,89.0588,3406.8235,2087.4118
23 Nov 2022,1659.2692,80.6923,2848.8846,1767.5769
24 Nov 2022,1266.0714,110.1429,2352.3571,1276
25 Nov 2022,1942.5714,32.9714,3501.2857,2127.8571
26 Nov 2022,0,0,0,0
27 Nov 2022,7534.3889,159.9444,15210.3333,7735.8889
28 Nov 2022,3792.3415,173.0976,6902.9024,3912.4878
29 Nov 2022,2114.1351,59.973,3917.6486,2220.2973
30 Nov 2022,1634.6889,84.8889,3029.2222,1652.7778
