category,Average SegsOut,Minimum SegsOut,Maximum SegsOut,Median SegsOut
1 Nov 2022,6025.5714,110.5714,13334,5963.4286
2 Nov 2022,3611.9545,92.3636,7618,3863.4545
3 Nov 2022,9320.3182,77.7727,19889.0455,9818.4545
4 Nov 2022,4405.1,180.95,9553.95,4446.1
5 Nov 2022,510.4,110,952.4,573.6
6 Nov 2022,454.0769,70.8462,828.6154,531.4615
7 Nov 2022,3044,105.6667,5869.9167,3551.5833
8 Nov 2022,8904.55,202.1,17810,9671.8
9 Nov 2022,9072.0577,83.2885,18675.8846,9517.6538
10 Nov 2022,10177.3269,92.8846,20837.9808,10674.2885
11 Nov 2022,10653.2424,134.7576,21310.303,11083.6364
12 Nov 2022,11038.2857,400.3571,20818.5,11440.8571
13 Nov 2022,669.5714,150.1429,1227,706.8214
14 Nov 2022,9838.2632,165.6053,19516.8947,10371.1053
15 Nov 2022,6479.3846,123.6538,13228.8077,6828.1026
16 Nov 2022,8942.9565,115.8261,18282.8913,9224.5435
17 Nov 2022,9220.4615,148.1538,18705.3077,9842.2308
18 Nov 2022,6448.4444,168.1111,12797.5556,6751.7778
19 Nov 2022,4162.7778,204.5,9154.5,4080.3333
20 Nov 2022,11722.3125,135,23911.625,12786.4375
21 Nov 2022,8150.8947,255.6316,17016.1579,8260.1579
22 Nov 2022,7408.1176,527.2941,15630,7368.1765
23 Nov 2022,6070.5,364.3846,12583.0385,6132.6923
24 Nov 2022,6854.6667,250.4167,15423.0833,6481.0833
25 Nov 2022,10436.4857,199.9714,21074.5714,10925.8286
26 Nov 2022,0,0,0,0
27 Nov 2022,8684.8889,406.5,18208.7778,8686.1111
28 Nov 2022,12586.7317,468.6341,25576.2927,12930.5366
29 Nov 2022,9363.2222,159.0278,18395.2778,9687.0278
30 Nov 2022,4308.1556,170.5556,9235.4,4339.2444
