category,Average Sacked,Minimum Sacked,Maximum Sacked,Median Sacked
1 Nov 2022,0,0,0.1429,0
2 Nov 2022,0,0,0.1739,0.0435
3 Nov 2022,0,0,0,0
4 Nov 2022,0.05,0,0.5,0
5 Nov 2022,0,0,0.6,0
6 Nov 2022,0,0,1.0769,0
7 Nov 2022,0.3077,0,1.1538,0.6923
8 Nov 2022,0,0,0,0
9 Nov 2022,0,0,0.3269,0.0962
10 Nov 2022,0,0,0.1154,0.0577
11 Nov 2022,0,0,0.0313,0
12 Nov 2022,0,0,0.0714,0
13 Nov 2022,0,0,0.25,0
14 Nov 2022,0,0,0.1081,0
15 Nov 2022,0.0506,0,0.5063,0.0759
16 Nov 2022,0.0217,0,0.3043,0.0652
17 Nov 2022,0,0,0,0
18 Nov 2022,0,0,0,0
19 Nov 2022,0,0,0,0
20 Nov 2022,0,0,0.1875,0
21 Nov 2022,0,0,1.2632,0.0526
22 Nov 2022,0,0,0.2941,0
23 Nov 2022,0,0,0,0
24 Nov 2022,0,0,0.7143,0
25 Nov 2022,0,0,0,0
26 Nov 2022,0,0,0,0
27 Nov 2022,0,0,0.1111,0
28 Nov 2022,0,0,0,0
29 Nov 2022,0.0541,0,0.1081,0.027
30 Nov 2022,0.0222,0,0.0667,0
