category,Average DsackDups,Minimum DsackDups,Maximum DsackDups,Median DsackDups
1 Nov 2022,0,0,0,0
2 Nov 2022,0.2273,0,0.6364,0.1364
3 Nov 2022,1.6364,0,2.3636,1.8182
4 Nov 2022,0.5,0.05,1.05,0.4
5 Nov 2022,0,0,0,0
6 Nov 2022,0,0,0,0
7 Nov 2022,0.0833,0.0833,0.1667,0.0833
8 Nov 2022,0.85,0,2.1,0.25
9 Nov 2022,3.6923,0.0385,6.8846,4.3462
10 Nov 2022,5.2692,0.0962,10.9038,6.1923
11 Nov 2022,3.1515,0,6.1818,2.7576
12 Nov 2022,0,0,0,0
13 Nov 2022,0,0,0,0
14 Nov 2022,1.1316,0.0526,2.1842,1.1316
15 Nov 2022,1.0128,0.1026,2.3077,0.3846
16 Nov 2022,0.8478,0.0217,1.3913,1
17 Nov 2022,3.1538,0.0385,11.6154,4.2308
18 Nov 2022,0,0,0.1111,0
19 Nov 2022,0.3333,0.0556,1.7778,0.1111
20 Nov 2022,0.125,0.125,0.125,0.125
21 Nov 2022,1.1053,0.1579,1.6842,1.4737
22 Nov 2022,0.5882,0,0.9412,0.8235
23 Nov 2022,1.1538,0,2.6923,1.2308
24 Nov 2022,0.25,0.0833,2.9167,0.0833
25 Nov 2022,0.4857,0.1714,0.7429,0.5429
26 Nov 2022,0,0,0,0
27 Nov 2022,0,0,0,0
28 Nov 2022,0.3659,0,0.4634,0.4146
29 Nov 2022,0.1944,0.1111,0.25,0.1944
30 Nov 2022,0,0,0,0
