category,Average ATO,Minimum ATO,Maximum ATO,Median ATO
1 Nov 2022,40000,40000,40000,40000
2 Nov 2022,40000,40000,40000,40000
3 Nov 2022,40096.9545,40000,40727.2727,40727.2727
4 Nov 2022,40000,40000,40000,40000
5 Nov 2022,40000,40000,40000,40000
6 Nov 2022,40000,40000,40000,40000
7 Nov 2022,40000,40000,40000,40000
8 Nov 2022,40076.2,40000,40800,40800
9 Nov 2022,40000,40000,40000,40000
10 Nov 2022,40010.0385,40000,40230.7692,40000
11 Nov 2022,40060.6061,40000,40484.8485,40000
12 Nov 2022,40000,40000,40000,40000
13 Nov 2022,40000,40000,40000,40000
14 Nov 2022,40000,40000,40000,40000
15 Nov 2022,40038.4615,40000,40307.6923,40000
16 Nov 2022,40029.6304,40000,40695.6522,40000
17 Nov 2022,40097.1538,40000,40615.3846,40000
18 Nov 2022,40000,40000,40000,40000
19 Nov 2022,40000,40000,40000,40000
20 Nov 2022,40151.25,40000,41250,40000
21 Nov 2022,40019.1579,40000,40210.5263,40000
22 Nov 2022,40000,40000,40000,40000
23 Nov 2022,40000,40000,40000,40000
24 Nov 2022,40000,40000,40000,40000
25 Nov 2022,40062.2857,40000,40571.4286,40000
26 Nov 2022,0,0,0,0
27 Nov 2022,40000,40000,40000,40000
28 Nov 2022,40000,40000,40000,40000
29 Nov 2022,40000,40000,40000,40000
30 Nov 2022,40028.0667,40000,40266.6667,40000
