category,Average ReordSeen,Minimum ReordSeen,Maximum ReordSeen,Median ReordSeen
1 Nov 2022,0,0,0,0
2 Nov 2022,0,0,0,0
3 Nov 2022,0,0,0,0
4 Nov 2022,2.15,2,2.25,2.15
5 Nov 2022,0,0,0,0
6 Nov 2022,0,0,0,0
7 Nov 2022,0.0833,0.0833,0.0833,0.0833
8 Nov 2022,0.6,0.25,1.1,0.55
9 Nov 2022,0,0,0,0
10 Nov 2022,0,0,0,0
11 Nov 2022,0.0909,0.0909,0.0909,0.0909
12 Nov 2022,0,0,0,0
13 Nov 2022,0.1429,0.1429,0.1429,0.1429
14 Nov 2022,0.5,0.2368,0.6316,0.6053
15 Nov 2022,0.1923,0.1538,0.2308,0.1795
16 Nov 2022,0,0,0,0
17 Nov 2022,0.0769,0.0385,0.0769,0.0769
18 Nov 2022,0.8889,0.7778,0.8889,0.8889
19 Nov 2022,0,0,0,0
20 Nov 2022,0,0,0,0
21 Nov 2022,1.5789,0.6316,2.4211,2
22 Nov 2022,0,0,0,0
23 Nov 2022,0.6538,0.4615,0.6538,0.6538
24 Nov 2022,0,0,0,0
25 Nov 2022,0.5429,0.5429,0.5429,0.5429
26 Nov 2022,0,0,0,0
27 Nov 2022,0,0,0,0
28 Nov 2022,0.878,0.1707,1.439,0.9512
29 Nov 2022,0.8611,0.8611,0.8611,0.8611
30 Nov 2022,0.0889,0.0444,0.0889,0.0889
