category,Average Retrans,Minimum Retrans,Maximum Retrans,Median Retrans
1 Nov 2022,0,0,0.0714,0
2 Nov 2022,0,0,0.087,0.0435
3 Nov 2022,0,0,0,0
4 Nov 2022,0,0,0.2,0
5 Nov 2022,0,0,0.6,0
6 Nov 2022,0,0,0.5385,0
7 Nov 2022,0.2308,0,0.5385,0.3846
8 Nov 2022,0,0,0,0
9 Nov 2022,0,0,0.1731,0.0192
10 Nov 2022,0,0,0.0192,0.0192
11 Nov 2022,0,0,0.0625,0
12 Nov 2022,0,0,0.0714,0
13 Nov 2022,0,0,0.1429,0
14 Nov 2022,0,0,0.027,0
15 Nov 2022,0.0127,0,0.1646,0.038
16 Nov 2022,0,0,0.1087,0.0217
17 Nov 2022,0,0,0,0
18 Nov 2022,0,0,0,0
19 Nov 2022,0,0,0,0
20 Nov 2022,0,0,0.125,0
21 Nov 2022,0,0,0.4737,0.0526
22 Nov 2022,0,0,0.1765,0
23 Nov 2022,0,0,0,0
24 Nov 2022,0,0,0.2857,0
25 Nov 2022,0,0,0.0571,0
26 Nov 2022,0,0,0,0
27 Nov 2022,0,0,0.0556,0
28 Nov 2022,0,0,0,0
29 Nov 2022,0.027,0,0.1081,0.027
30 Nov 2022,0,0,0.0444,0
