category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Nov 2022,1420.2143,1357.8571,1421.5714,1421.5714
2 Nov 2022,1371.9565,899.8261,1384.9565,1384.9565
3 Nov 2022,1419.8182,1103.6364,1428,1428
4 Nov 2022,1407.15,1276.2,1410,1410
5 Nov 2022,1335,1177.6,1338,1338
6 Nov 2022,1335.2308,1214.6154,1338,1338
7 Nov 2022,1362,1050.3077,1379.5385,1379.5385
8 Nov 2022,1414.45,1025.1,1426.5,1426.5
9 Nov 2022,1407.6731,1083.1923,1426.2692,1426.2692
10 Nov 2022,1416.5577,1067.7692,1428,1428
11 Nov 2022,1419.8125,1149.25,1428,1428
12 Nov 2022,1405.7143,1281.2857,1408.7143,1408.7143
13 Nov 2022,1336.6786,1280.7143,1338,1338
14 Nov 2022,1402.7027,1169.6216,1410.7027,1410.7027
15 Nov 2022,1368.8861,1101.962,1385.4304,1375.2785
16 Nov 2022,1413.9348,1020.7826,1426.0435,1426.0435
17 Nov 2022,1409.8462,1074.5385,1417.6154,1417.6154
18 Nov 2022,1414.1111,1031.5556,1428,1428
19 Nov 2022,1363.6667,1041.1111,1373,1373
20 Nov 2022,1411.125,1037.75,1428,1428
21 Nov 2022,1422,1099.7895,1432.2105,1432.2105
22 Nov 2022,1431.9412,1231.0588,1439.1765,1439.1765
23 Nov 2022,1353.1154,1197.6154,1358.7692,1358.7692
24 Nov 2022,1379.2857,1204,1383.7143,1383.7143
25 Nov 2022,1409.4286,994.7429,1428,1428
26 Nov 2022,0,0,0,0
27 Nov 2022,1336.6667,1293.4444,1338,1338
28 Nov 2022,1365.3659,1242.3415,1368.4878,1368.4878
29 Nov 2022,1405.7297,1013.2973,1418.2703,1418.2703
30 Nov 2022,1374.0444,1223.4222,1378,1378
