category,Average Reordering,Minimum Reordering,Maximum Reordering,Median Reordering
1 Nov 2022,3,3,3,3
2 Nov 2022,3,3,3,3
3 Nov 2022,3,3,3,3
4 Nov 2022,3.35,3.2,4,3.2
5 Nov 2022,3,3,3,3
6 Nov 2022,3,3,3,3
7 Nov 2022,3,3,3,3
8 Nov 2022,3.2,3,3.45,3.25
9 Nov 2022,3,3,3,3
10 Nov 2022,3,3,3,3
11 Nov 2022,3,3,3,3
12 Nov 2022,3,3,3,3
13 Nov 2022,3.1071,3.1071,3.1071,3.1071
14 Nov 2022,3.1053,3,3.1316,3.1316
15 Nov 2022,3.0128,3,3.0641,3.0128
16 Nov 2022,3,3,3,3
17 Nov 2022,3,3,3,3
18 Nov 2022,3,3,3,3
19 Nov 2022,3,3,3,3
20 Nov 2022,3,3,3,3
21 Nov 2022,3.3158,3.0526,3.6842,3.5263
22 Nov 2022,3,3,3,3
23 Nov 2022,3.6923,3,3.9231,3.9231
24 Nov 2022,3,3,3,3
25 Nov 2022,3,3,3,3
26 Nov 2022,0,0,0,0
27 Nov 2022,3,3,3,3
28 Nov 2022,3.2927,3,3.3659,3.3171
29 Nov 2022,3,3,3,3
30 Nov 2022,3,3,3,3
