category,Average DataSegsIn,Minimum DataSegsIn,Maximum DataSegsIn,Median DataSegsIn
1 Jan 2022,11,3,20.4286,11.3333
2 Jan 2022,11.8095,3,21.4762,12.3333
3 Jan 2022,9.1154,3.0769,16.4615,9.4615
4 Jan 2022,10.2063,3.0159,18.6984,10.4127
5 Jan 2022,10.6548,3.0119,19.5476,11.0238
6 Jan 2022,10.56,3.0133,19.3467,10.8933
7 Jan 2022,10.5172,3.0345,19.3448,10.8621
8 Jan 2022,11.3913,3,21.0435,11.5652
9 Jan 2022,10.5714,3.0357,19.2143,10.8571
10 Jan 2022,11.15,3,20.375,11.525
11 Jan 2022,10.7714,3,19.8857,11.2857
12 Jan 2022,11.0247,3.0123,20.1852,11.6543
13 Jan 2022,8.3913,3,15.1739,8.7391
14 Jan 2022,9.2727,3.0455,16.7727,9.9545
15 Jan 2022,10.6667,3.1333,19.1333,11.3333
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,10.6579,3,19.2895,10.8947
19 Jan 2022,11.3023,3.0233,20.6977,11.7209
20 Jan 2022,10.4286,3.0357,18.8929,11.1071
21 Jan 2022,8.2778,3,14.5556,8.5
22 Jan 2022,12.3939,3,22.7879,12.8485
23 Jan 2022,11.3261,3.0435,20.8043,11.6957
24 Jan 2022,10.9,3.04,19.86,11.14
25 Jan 2022,9.6061,3,17.3636,10
26 Jan 2022,10.3284,3.0149,19.0896,10.7164
27 Jan 2022,10.2391,2.9783,18.6087,10.6087
28 Jan 2022,10.8,3.05,19.85,11.45
29 Jan 2022,9.3721,3,17.1163,9.6512
30 Jan 2022,11.3333,3.037,20.7037,11.7222
31 Jan 2022,10.8,3.1,20,11.4
