category,Average BytesReceived,Minimum BytesReceived,Maximum BytesReceived,Median BytesReceived
1 Jan 2022,956349.7619,29598.1429,1831897.6667,972328.5238
2 Jan 2022,1275119.0952,72711.5714,2309403.2381,1364169.9524
3 Jan 2022,3419310.6154,592718.7692,5840082.1154,3489993.6538
4 Jan 2022,2896388.6167,485048.7,4989631.9333,2977329.9833
5 Jan 2022,3259511.2857,554695.619,5607241.5952,3364087.9167
6 Jan 2022,3071789.2133,440871,5469162.7333,3125397.8667
7 Jan 2022,4230692.7931,639911.4828,7309436.7241,4371801.6897
8 Jan 2022,1888992.2174,344155,3349069.1739,1899655.5652
9 Jan 2022,680528.8214,30704.1429,1217436.2143,694660.5
10 Jan 2022,720472.1,44694,1354174.275,720547.65
11 Jan 2022,2525724.7714,293707.1714,4484459.8,2544713.6857
12 Jan 2022,1728618.8642,209037.8148,3158003.2469,1750732.5309
13 Jan 2022,1784822.3043,301632.3043,3241242.8261,1825510.4348
14 Jan 2022,2536666.0455,121848.6364,4553802.3636,2630982.5
15 Jan 2022,485657.4545,52080.1818,858520.3636,507903
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,1265719.3947,123422.8947,2151003.3684,1353759.7895
19 Jan 2022,527911,68146.1628,942763.7907,535413.7442
20 Jan 2022,696398.6429,15782.3571,1280447.7857,720053.4643
21 Jan 2022,1673486.4444,10475,3357016.2222,1711270.5556
22 Jan 2022,157190.7424,12969,274645.8182,165579
23 Jan 2022,304640.6739,14090.0435,554326.0217,338540.8913
24 Jan 2022,1074422.38,116642.8,1992232.78,1091530.76
25 Jan 2022,1475628.6061,79915,2659964.7273,1508853.3939
26 Jan 2022,972753.2687,74873.1791,1732997.0299,1020772.1045
27 Jan 2022,1458785.617,99485,2662945.0426,1520641.1915
28 Jan 2022,3983939.45,519278.6,6997262.9,4064259.65
29 Jan 2022,2124951.119,92924.4286,3807011.6905,2242779.5476
30 Jan 2022,2136394.9074,93795.5185,4018577.2222,2220875.1111
31 Jan 2022,3363341,189602.8,6101811.6,3373000.5
