category,Average RTT,Minimum RTT,Maximum RTT,Median RTT
1 Jan 2022,79426.2381,36277.8571,149662.9524,79586.7619
2 Jan 2022,58068.4762,30262.1429,82552.1905,64482.381
3 Jan 2022,10192.3077,6100.8846,26770.7692,9179.6154
4 Jan 2022,30234.4167,17624.1167,54928.6,33476.2833
5 Jan 2022,24990.4405,13630.1429,44894.75,28257.1905
6 Jan 2022,28717.2933,15159.3333,49447.52,33261.68
7 Jan 2022,13645.1379,8694.5172,24180.8966,12369.8276
8 Jan 2022,43921.6522,26595.0435,60700.087,46670
9 Jan 2022,86603,38827.1786,133524.2857,105875.0714
10 Jan 2022,63921.6,34383.775,98989.5,74574.875
11 Jan 2022,31158.1714,19065.9714,45189.8,33277.5714
12 Jan 2022,38296.679,22573.321,61137,40811.0864
13 Jan 2022,51098,31254.1739,77015.1304,52116.5217
14 Jan 2022,61892,28988.7727,102659.1818,66923.4091
15 Jan 2022,90033.4091,56818.9545,129103.4091,90584.8182
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,46017.4211,29262.6842,74492.9737,44227.5526
19 Jan 2022,48369.7674,28438.5814,74609.907,55004.8605
20 Jan 2022,99409.1429,76793.2143,129476.9286,97635.1786
21 Jan 2022,168064.1111,113060.8889,232598.3889,182019.5
22 Jan 2022,51660.3788,32941.6667,76200.9091,51441.8333
23 Jan 2022,65735.0435,45208.6957,101219.6739,63833.087
24 Jan 2022,89774.48,37917.48,160362.28,95205.88
25 Jan 2022,74577.4545,37778.2727,118351.8182,79255.4242
26 Jan 2022,80806.5821,33742.1045,141667.806,79380.0299
27 Jan 2022,52231,34004.4255,71894.0213,54971.8511
28 Jan 2022,33783.05,17553.45,49734.6,23213.3
29 Jan 2022,122834.5238,61339.5714,203412.1667,123264.9762
30 Jan 2022,100334.2037,30081.2778,186786.3704,98588.5
31 Jan 2022,19950.5,13179.2,30681.2,23420.5
