category,Average SegsOut,Minimum SegsOut,Maximum SegsOut,Median SegsOut
1 Jan 2022,3633.7619,239.4286,8353.4762,3424.8095
2 Jan 2022,4621.619,147.7143,10659,4474.0476
3 Jan 2022,6906.5385,495.5769,14103.1154,7301.4231
4 Jan 2022,7634.5079,647.1111,15236.5873,7757.2063
5 Jan 2022,8497.4167,911.0238,16616.6548,8815.5833
6 Jan 2022,7300.8667,902.04,14308.1333,7530.56
7 Jan 2022,9409.1379,1444.5862,17345.069,9647.8966
8 Jan 2022,5677.6087,389.6522,11768.6957,5668.5652
9 Jan 2022,3032.1429,148.8929,6966.6429,2928.8571
10 Jan 2022,3627.6,186.975,8136.275,3511.35
11 Jan 2022,7692.5714,397.0286,15864.0286,7975.6286
12 Jan 2022,6747.8272,437.8148,14316.3333,6805.5309
13 Jan 2022,4296.0435,301.2174,8818.0435,4270.2174
14 Jan 2022,3482.2273,225.4545,7350,3664.2273
15 Jan 2022,2320.9333,236.3333,5120.5333,2352.2667
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,6600.0263,306.4474,13919.6053,6657.8947
19 Jan 2022,5158.4884,225.1163,11096.8605,5161.7674
20 Jan 2022,5750.9286,277.2857,12688.25,5766.0714
21 Jan 2022,4277.0556,122.5556,9420.5,4409.2778
22 Jan 2022,6658.8485,337.4848,14462.9848,6616.5455
23 Jan 2022,4829.3261,202.913,11011.6957,4531.7174
24 Jan 2022,4910.38,285.5,10825.68,4705.04
25 Jan 2022,3432.2424,166.0606,7507.3636,3478.1212
26 Jan 2022,2405.403,159.791,5432.5522,2341.7164
27 Jan 2022,3890.6957,211.2174,8452.7826,3852.3043
28 Jan 2022,7352.2,703.95,15389.45,7482.1
29 Jan 2022,1284.9767,99.7907,2980,1210.9302
30 Jan 2022,3978.463,266.4815,8990,3836.6852
31 Jan 2022,7168,679.1,14292.3,7421.5
