category,Average Delivered,Minimum Delivered,Maximum Delivered,Median Delivered
1 Jan 2022,50.1429,5.9048,93.619,51.4286
2 Jan 2022,48.5238,5.9524,90.8095,49.7619
3 Jan 2022,49.8077,6,94,50.5
4 Jan 2022,49.65,5.9333,93.3667,51.15
5 Jan 2022,48.4762,5.9881,90.7143,49.8571
6 Jan 2022,50.76,5.9467,95.16,51.8267
7 Jan 2022,48.6897,6.0345,91.069,49.8621
8 Jan 2022,47.4348,5.913,88.6522,48.3913
9 Jan 2022,50.5,5.8571,94.75,51.6786
10 Jan 2022,49.425,5.95,92.7,50.775
11 Jan 2022,48.9143,5.3143,92.4,49.9429
12 Jan 2022,49.716,6.0123,93.4938,50.8148
13 Jan 2022,49.5652,6.1304,92.4348,50.6957
14 Jan 2022,49,5.8182,91.3636,49.8636
15 Jan 2022,47.3182,5.6364,89,48.5
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,46.8947,5.6842,87.7105,48.1842
19 Jan 2022,49.093,5.9767,92.0465,50.0465
20 Jan 2022,47.25,5.8214,88.4286,48.4643
21 Jan 2022,50,5.5556,93.8889,50.3333
22 Jan 2022,50.7273,5.9091,95.5152,51.803
23 Jan 2022,47.5435,5.8043,88.8261,48.9565
24 Jan 2022,49.7,5.92,93.4,50.74
25 Jan 2022,48.5758,5.8788,91.1212,49.5152
26 Jan 2022,49.5522,5.9254,92.2985,50.6567
27 Jan 2022,48.9149,5.9149,92.0213,49.766
28 Jan 2022,47.6,5.95,89.05,48.85
29 Jan 2022,49.2619,5.8333,92.0714,50.1667
30 Jan 2022,50.4259,5.8704,93.8519,51.9074
31 Jan 2022,51.2,6,96.1,52
